"name","pos","name_ffn","team_ffn","positionRank_ffn","overallRank_ffn","pts_ffn","passAtt_ffn","passComp_ffn","passYds_ffn","passTds_ffn","passInt_ffn","rushAtt_ffn","rushYds_ffn","rushTds_ffn","rec_ffn","recYds_ffn","recTds_ffn","returnTds_ffn","twoPts_ffn","fumbles_ffn"
"MONTEEBALL","RB","Montee Ball","DEN",6,18,211,NA,NA,NA,NA,NA,250,1131,10,45,320,2,NA,NA,3
"DEMARCOMURRAY","RB","DeMarco Murray","DAL",7,19,209,NA,NA,NA,NA,NA,232,1126,9,55,400,1,NA,NA,2
"DOUGMARTIN","RB","Doug Martin","TB",8,20,204,NA,NA,NA,NA,NA,278,1190,8,40,291,2,NA,NA,2
"DEZBRYANT","WR","Dez Bryant","DAL",3,20,204,NA,NA,NA,NA,NA,1,4,0,96,1334,12,NA,NA,1
"MARSHAWNLYNCH","RB","Marshawn Lynch","SEA",9,22,203,NA,NA,NA,NA,NA,277,1201,10,27,210,1,NA,NA,2
"GIOVANIBERNARD","RB","Giovani Bernard","CIN",10,23,198,NA,NA,NA,NA,NA,226,1062,5,56,494,3,NA,NA,3
"AJGREEN","WR","A.J. Green","CIN",4,24,197,NA,NA,NA,NA,NA,0,0,0,90,1306,11,NA,NA,0
"JULIOJONES","WR","Julio Jones","ATL",4,24,197,NA,NA,NA,NA,NA,3,26,0,92,1362,10,NA,NA,1
"BRANDONMARSHALL","WR","Brandon Marshall","CHI",6,26,193,NA,NA,NA,NA,NA,0,0,0,100,1266,11,NA,NA,0
"JIMMYGRAHAM","TE","Jimmy Graham","NO",1,27,190,NA,NA,NA,NA,NA,0,0,0,84,1115,13,NA,NA,0
"ALSHONJEFFERY","WR","Alshon Jeffery","CHI",7,28,187,NA,NA,NA,NA,NA,11,65,1,84,1281,8,NA,NA,1
"ANTONIOBROWN","WR","Antonio Brown","PIT",8,29,186,NA,NA,NA,NA,NA,7,40,0,103,1355,8,NA,NA,1
"JORDYNELSON","WR","Jordy Nelson","GB",9,30,185,NA,NA,NA,NA,NA,0,0,0,82,1273,10,NA,NA,1
"RANDALLCOBB","WR","Randall Cobb","GB",10,31,176,NA,NA,NA,NA,NA,9,95,0,89,1203,8,NA,NA,1
"JULIUSTHOMAS","TE","Julius Thomas","DEN",2,32,164,NA,NA,NA,NA,NA,0,0,0,72,923,12,NA,NA,0
"VERNONDAVIS","TE","Vernon Davis","SF",3,33,150,NA,NA,NA,NA,NA,0,0,0,56,835,11,NA,NA,0
"STEPHENGOSTKOWSKI","K","Stephen Gostkowski","NE",1,34,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ROBGRONKOWSKI","TE","Rob Gronkowski","NE",4,35,140,NA,NA,NA,NA,NA,0,0,0,63,920,8,NA,NA,0
"PHILDAWSON","K","Phil Dawson","SF",2,36,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JUSTINTUCKER","K","Justin Tucker","BAL",3,37,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MASONCROSBY","K","Mason Crosby","GB",4,38,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STEVENHAUSCHKA","K","Steven Hauschka","SEA",4,38,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DANBAILEY","K","Dan Bailey","DAL",4,38,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JORDANCAMERON","TE","Jordan Cameron","CLE",5,41,130,NA,NA,NA,NA,NA,0,0,0,74,879,7,NA,NA,0
"ADAMVINATIERI","K","Adam Vinatieri","IND",7,41,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SHAYNEGRAHAM","K","Shayne Graham","NO",8,43,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MATTBRYANT","K","Matt Bryant","ATL",8,43,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STLOUISRAMS","DST","St. Louis Rams",NA,1,43,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DENNISPITTA","TE","Dennis Pitta","BAL",6,46,128,NA,NA,NA,NA,NA,0,0,0,73,800,8,NA,NA,0
"NICKNOVAK","K","Nick Novak","SD",10,46,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SEATTLESEAHAWKS","DST","Seattle Seahawks",NA,2,46,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NEWENGLANDPATRIOTS","DST","New England Patriots",NA,3,49,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JASONWITTEN","TE","Jason Witten","DAL",7,50,124,NA,NA,NA,NA,NA,0,0,0,74,818,7,NA,NA,0
"DENVERBRONCOS","DST","Denver Broncos",NA,4,51,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CINCINNATIBENGALS","DST","Cincinnati Bengals",NA,5,52,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KANSASCITYCHIEFS","DST","Kansas City Chiefs",NA,6,53,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAROLINAPANTHERS","DST","Carolina Panthers",NA,7,54,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SANFRANCISCO49ERS","DST","San Francisco 49ers",NA,8,55,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NEWORLEANSSAINTS","DST","New Orleans Saints",NA,9,56,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARIZONACARDINALS","DST","Arizona Cardinals",NA,10,57,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GREGOLSEN","TE","Greg Olsen","CAR",8,58,114,NA,NA,NA,NA,NA,0,0,0,70,842,5,NA,NA,0
"KYLERUDOLPH","TE","Kyle Rudolph","MIN",9,59,106,NA,NA,NA,NA,NA,0,0,0,56,576,8,NA,NA,0
"JORDANREED","TE","Jordan Reed","WAS",10,60,105,NA,NA,NA,NA,NA,0,0,0,61,689,6,NA,NA,0
