"name","name_fbg1","pos","team_fbg1","overallRank_fbg1","passAtt_fbg1","passComp_fbg1","passYds_fbg1","passTds_fbg1","passInt_fbg1","rushAtt_fbg1","rushYds_fbg1","rushTds_fbg1","rec_fbg1","recYds_fbg1","recTds_fbg1","twoPts_fbg1","fumbles_fbg1","pts_fbg1"
"CHRISIVORY","Chris Ivory","RB","NYJ",163,NA,NA,NA,NA,NA,120,510,4,6,41,0,NA,NA,79.1
"MARKINGRAM","Mark Ingram","RB","NO",164,NA,NA,NA,NA,NA,115,454,4,13,96,0,NA,NA,79
"SHONNGREENE","Shonn Greene","RB","TEN",165,NA,NA,NA,NA,NA,125,481,4,9,64,0,NA,NA,78.5
"JAREDCOOK","Jared Cook","TE","STL",165,NA,NA,NA,NA,NA,NA,NA,NA,45,545,4,NA,NA,78.5
"TYLEREIFERT","Tyler Eifert","TE","CIN",167,NA,NA,NA,NA,NA,NA,NA,NA,44,480,5,NA,NA,78
"MILESAUSTIN","Miles Austin","WR","CLE",168,NA,NA,NA,NA,NA,0,0,0,41,525,4,NA,NA,76.5
"MIKEWILLIAMS","Mike Williams","WR","BUF",169,NA,NA,NA,NA,NA,0,0,0,42,521,4,NA,NA,76.1
"ANDREWHAWKINS","Andrew Hawkins","WR","CLE",170,NA,NA,NA,NA,NA,2,8,0,44,563,3,NA,NA,75.1
"DONNIEAVERY","Donnie Avery","WR","KC",171,NA,NA,NA,NA,NA,1,4,0,41,562,3,NA,NA,74.6
"CHARLESSIMS","Charles Sims","RB","TB",172,NA,NA,NA,NA,NA,100,405,3,14,98,1,NA,NA,74.3
"COBYFLEENER","Coby Fleener","TE","IND",173,NA,NA,NA,NA,NA,NA,NA,NA,44,502,4,NA,NA,74.2
"GARRETTGRAHAM","Garrett Graham","TE","HOU",174,NA,NA,NA,NA,NA,NA,NA,NA,45,500,4,NA,NA,74
"DWAYNEALLEN","Dwayne Allen","TE","IND",175,NA,NA,NA,NA,NA,NA,NA,NA,43,495,4,NA,NA,73.5
"MARCEDESLEWIS","Marcedes Lewis","TE","JAX",176,NA,NA,NA,NA,NA,NA,NA,NA,41,472,4,NA,NA,71.2
"ERICEBRON","Eric Ebron","TE","DET",176,NA,NA,NA,NA,NA,NA,NA,NA,40,472,4,NA,NA,71.2
"NATEWASHINGTON","Nate Washington","WR","TEN",178,NA,NA,NA,NA,NA,0,0,0,39,519,3,NA,NA,69.9
"MATTCASSEL","Matt Cassel","QB","MIN",179,135,80,891,6,4,19,44,0,NA,NA,NA,NA,NA,68.95
"JERMAINEKEARSE","Jermaine Kearse","WR","SEA",180,NA,NA,NA,NA,NA,0,0,0,38,502,3,NA,NA,68.2
"JERRICHOCOTCHERY","Jerricho Cotchery","WR","CAR",181,NA,NA,NA,NA,NA,1,4,0,38,490,3,NA,NA,67.4
"ZACHMILLER","Zach Miller","TE","SEA",181,NA,NA,NA,NA,NA,NA,NA,NA,32,374,5,NA,NA,67.4
"ODELLBECKHAM","Odell Beckham Jr","WR","NYG",183,NA,NA,NA,NA,NA,0,0,0,37,492,3,NA,NA,67.2
"CHRISTINEMICHAEL","Christine Michael","RB","SEA",184,NA,NA,NA,NA,NA,85,361,3,18,130,0,NA,NA,67.1
"KHIRYROBINSON","Khiry Robinson","RB","NO",184,NA,NA,NA,NA,NA,100,415,3,11,76,0,NA,NA,67.1
"KNILEDAVIS","Knile Davis","RB","KC",186,NA,NA,NA,NA,NA,90,383,3,15,107,0,NA,NA,67
"TRAVISKELCE","Travis Kelce","TE","KC",186,NA,NA,NA,NA,NA,NA,NA,NA,43,430,4,NA,NA,67
"JOHNBROWN","John Brown","WR","ARI",188,NA,NA,NA,NA,NA,1,4,0,36,472,3,NA,NA,65.6
"DONALDBROWN","Donald Brown","RB","SD",189,NA,NA,NA,NA,NA,95,404,3,9,68,0,NA,NA,65.2
"AARONDOBSON","Aaron Dobson","WR","NE",189,NA,NA,NA,NA,NA,0,0,0,36,472,3,NA,NA,65.2
"CJANDERSON","C.J. Anderson","RB","DEN",191,NA,NA,NA,NA,NA,90,401,3,10,70,0,NA,NA,65.1
"JEREMYKERLEY","Jeremy Kerley","WR","NYJ",192,NA,NA,NA,NA,NA,2,8,0,35,462,3,NA,NA,65
"STEPFANTAYLOR","Stepfan Taylor","RB","ARI",193,NA,NA,NA,NA,NA,90,338,3,15,119,0,NA,NA,63.7
"ALLENROBINSON","Allen Robinson","WR","JAX",194,NA,NA,NA,NA,NA,0,0,0,42,512,2,NA,NA,63.2
"STEVEJOHNSON","Steve Johnson","WR","SF",195,NA,NA,NA,NA,NA,1,5,0,35,438,3,NA,NA,62.3
"MARLONBROWN","Marlon Brown","WR","BAL",196,NA,NA,NA,NA,NA,1,4,0,36,428,3,NA,NA,61.2
"ANDREROBERTS","Andre Roberts","WR","WAS",197,NA,NA,NA,NA,NA,0,0,0,39,429,3,NA,NA,60.9
"LEVINETOILOLO","Levine Toilolo","TE","ATL",198,NA,NA,NA,NA,NA,NA,NA,NA,35,364,4,NA,NA,60.4
"DAVIDNELSON","David Nelson","WR","NYJ",199,NA,NA,NA,NA,NA,0,0,0,30,420,3,NA,NA,60
"BRIANQUICK","Brian Quick","WR","STL",200,NA,NA,NA,NA,NA,0,0,0,30,417,3,NA,NA,59.7
"NATEBURLESON","Nate Burleson","WR","CLE",201,NA,NA,NA,NA,NA,1,4,0,35,410,3,NA,NA,59.4
"MIKETOLBERT","Mike Tolbert","RB","CAR",202,NA,NA,NA,NA,NA,50,178,3,23,166,1,NA,NA,58.4
"LANCEMOORE","Lance Moore","WR","PIT",203,NA,NA,NA,NA,NA,0,0,0,32,400,3,NA,NA,58
"LEGARRETTEBLOUNT","LeGarrette Blount","RB","PIT",204,NA,NA,NA,NA,NA,85,336,3,8,56,0,NA,NA,57.2
"TIMWRIGHT","Timothy Wright","TE","TB",205,NA,NA,NA,NA,NA,NA,NA,NA,37,389,3,NA,NA,56.9
"JARIUSWRIGHT","Jarius Wright","WR","MIN",206,NA,NA,NA,NA,NA,0,0,0,32,442,2,NA,NA,56.2
"BLAKEBORTLES","Blake Bortles","QB","JAX",207,139,78,869,4,5,8,17,0,NA,NA,NA,NA,NA,56.15
"PAULRICHARDSON","Paul Richardson","WR","SEA",208,NA,NA,NA,NA,NA,0,0,0,31,431,2,NA,NA,55.1
"JACQUIZZRODGERS","Jacquizz Rodgers","RB","ATL",209,NA,NA,NA,NA,NA,44,158,1,37,270,1,NA,NA,54.8
"CODYLATIMER","Cody Latimer","WR","DEN",209,NA,NA,NA,NA,NA,0,0,0,29,368,3,NA,NA,54.8
"OWENDANIELS","Owen Daniels","TE","BAL",211,NA,NA,NA,NA,NA,NA,NA,NA,34,367,3,NA,NA,54.7
"JORDANTODMAN","Jordan Todman","RB","JAX",212,NA,NA,NA,NA,NA,80,316,2,14,109,0,NA,NA,54.5
"VINCENTBROWN","Vincent Brown","WR","SD",213,NA,NA,NA,NA,NA,0,0,0,29,363,3,NA,NA,54.3
"DEXTERMCCLUSTER","Dexter McCluster","RB","TEN",214,NA,NA,NA,NA,NA,7,28,0,38,391,2,NA,NA,53.9
"JONATHANSTEWART","Jonathan Stewart","RB","CAR",215,NA,NA,NA,NA,NA,90,333,2,11,78,0,NA,NA,53.1
"JAMESSTARKS","James Starks","RB","GB",216,NA,NA,NA,NA,NA,55,228,2,15,119,1,NA,NA,52.7
"JERRELJERNIGAN","Jerrel Jernigan","WR","NYG",217,NA,NA,NA,NA,NA,2,10,0,31,394,2,NA,NA,52.4
"JERMAINEGRESHAM","Jermaine Gresham","TE","CIN",218,NA,NA,NA,NA,NA,NA,NA,NA,33,343,3,NA,NA,52.3
"TREMASON","Tre Mason","RB","STL",219,NA,NA,NA,NA,NA,80,328,2,11,74,0,NA,NA,52.2
"BRANDONLAFELL","Brandon LaFell","WR","NE",220,NA,NA,NA,NA,NA,1,5,0,30,390,2,NA,NA,51.5
"SCOTTCHANDLER","Scott Chandler","TE","BUF",221,NA,NA,NA,NA,NA,NA,NA,NA,34,384,2,NA,NA,50.4
"MOHAMEDSANU","Mohamed Sanu","WR","CIN",222,NA,NA,NA,NA,NA,4,16,0,34,364,2,NA,NA,50
"ROYHELU","Roy Helu","RB","WAS",223,NA,NA,NA,NA,NA,50,213,1,21,164,1,NA,NA,49.7
"BILALPOWELL","Bilal Powell","RB","NYJ",223,NA,NA,NA,NA,NA,50,200,1,23,177,1,NA,NA,49.7
"BENNYCUNNINGHAM","Benny Cunningham","RB","STL",225,NA,NA,NA,NA,NA,70,280,2,11,88,0,NA,NA,48.8
"JARVISLANDRY","Jarvis Landry","WR","MIA",226,NA,NA,NA,NA,NA,1,4,0,29,351,2,NA,NA,47.5
"TIQUANUNDERWOOD","Tiquan Underwood","WR","CAR",227,NA,NA,NA,NA,NA,0,0,0,24,353,2,NA,NA,47.3
"BRANDONPETTIGREW","Brandon Pettigrew","TE","DET",228,NA,NA,NA,NA,NA,NA,NA,NA,28,286,3,NA,NA,46.6
"DIONLEWIS","Dion Lewis","RB","CLE",229,NA,NA,NA,NA,NA,70,287,1,16,114,0,NA,NA,46.1
"CHARLESJOHNSON","Charles Johnson","WR","CLE",230,NA,NA,NA,NA,NA,1,4,0,27,332,2,NA,NA,45.6
"CHRISGIVENS","Chris Givens","WR","STL",231,NA,NA,NA,NA,NA,2,8,0,21,326,2,NA,NA,45.4
"RICHARDRODGERS","Richard Rodgers","TE","GB",232,NA,NA,NA,NA,NA,NA,NA,NA,25,268,3,NA,NA,44.8
"BRENTCELEK","Brent Celek","TE","PHI",233,NA,NA,NA,NA,NA,NA,NA,NA,24,322,2,NA,NA,44.2
"EDDICKSON","Ed Dickson","TE","CAR",233,NA,NA,NA,NA,NA,NA,NA,NA,29,322,2,NA,NA,44.2
"DONTEMONCRIEF","Donte Moncrief","WR","IND",235,NA,NA,NA,NA,NA,1,5,0,24,314,2,NA,NA,43.9
"DAVANTEADAMS","Davante Adams","WR","GB",236,NA,NA,NA,NA,NA,0,0,0,25,315,2,NA,NA,43.5
"ANDREBROWN","Andre Brown","RB","HOU",237,NA,NA,NA,NA,NA,60,243,2,10,71,0,NA,NA,43.4
"JONATHANDWYER","Jonathan Dwyer","RB","ARI",238,NA,NA,NA,NA,NA,65,250,2,8,63,0,NA,NA,43.3
"EDDIEROYAL","Eddie Royal","WR","SD",239,NA,NA,NA,NA,NA,2,10,0,24,302,2,NA,NA,43.2
"BRANDONGIBSON","Brandon Gibson","WR","MIA",240,NA,NA,NA,NA,NA,0,0,0,27,308,2,NA,NA,42.8
"RONNIEHILLMAN","Ronnie Hillman","RB","DEN",241,NA,NA,NA,NA,NA,40,158,1,18,144,1,NA,NA,42.2
"KADEEMCAREY","KaDeem Carey","RB","CHI",242,NA,NA,NA,NA,NA,64,259,2,5,36,0,NA,NA,41.5
"CASEKEENUM","Case Keenum","QB","HOU",243,85,52,604,3,3,5,18,0,NA,NA,NA,NA,NA,41
"JAMESWHITE","James White","RB","NE",243,NA,NA,NA,NA,NA,60,237,2,7,53,0,NA,NA,41
"NICKTOON","Nick Toon","WR","NO",245,NA,NA,NA,NA,NA,0,0,0,18,288,2,NA,NA,40.8
"BRYCEBROWN","Bryce Brown","RB","BUF",246,NA,NA,NA,NA,NA,60,249,2,4,30,0,NA,NA,39.9
"CHRISPOLK","Chris Polk","RB","PHI",247,NA,NA,NA,NA,NA,65,296,1,6,42,0,NA,NA,39.8
"GAVINESCOBAR","Gavin Escobar","TE","DAL",248,NA,NA,NA,NA,NA,NA,NA,NA,25,273,2,NA,NA,39.3
"JUNIORHEMINGWAY","Junior Hemingway","WR","KC",249,NA,NA,NA,NA,NA,0,0,0,24,271,2,NA,NA,39.1
"ZACHSUDFELD","Zach Sudfeld","TE","NYJ",250,NA,NA,NA,NA,NA,NA,NA,NA,24,269,2,NA,NA,38.9
"STEDMANBAILEY","Stedman Bailey","WR","STL",251,NA,NA,NA,NA,NA,1,6,1,20,260,1,NA,NA,38.6
"JEROMESIMPSON","Jerome Simpson","WR","MIN",252,NA,NA,NA,NA,NA,0,0,0,24,324,1,NA,NA,38.4
"DAVIDAUSBERRY","David Ausberry","TE","OAK",253,NA,NA,NA,NA,NA,NA,NA,NA,25,259,2,NA,NA,37.9
"BRANDONMYERS","Brandon Myers","TE","TB",254,NA,NA,NA,NA,NA,NA,NA,NA,24,257,2,NA,NA,37.7
"BRANDONBOSTICK","Brandon Bostick","TE","GB",255,NA,NA,NA,NA,NA,NA,NA,NA,23,255,2,NA,NA,37.5
"COLEBEASLEY","Cole Beasley","WR","DAL",256,NA,NA,NA,NA,NA,0,0,0,21,254,2,NA,NA,37.4
"KESHAWNMARTIN","Keshawn Martin","WR","HOU",257,NA,NA,NA,NA,NA,0,0,0,25,313,1,NA,NA,37.3
"AUSTINSEFERIANJENKINS","Austin Seferian-Jenkins","TE","TB",258,NA,NA,NA,NA,NA,NA,NA,NA,24,250,2,NA,NA,37
"KRISDURHAM","Kris Durham","WR","DET",259,NA,NA,NA,NA,NA,0,0,0,24,309,1,NA,NA,36.9
"JERICKMCKINNON","Jerick McKinnon","RB","MIN",260,NA,NA,NA,NA,NA,55,234,1,11,74,0,NA,NA,36.8
"MIKEJAMES","Mike James","RB","TB",261,NA,NA,NA,NA,NA,65,267,1,6,39,0,NA,NA,36.6
"ADRIENROBINSON","Adrien Robinson","TE","NYG",262,NA,NA,NA,NA,NA,NA,NA,NA,23,244,2,NA,NA,36.4
"DREWDAVIS","Drew Davis","WR","ATL",263,NA,NA,NA,NA,NA,0,0,0,17,243,2,NA,NA,36.3
"JACEAMARO","Jace Amaro","TE","NYJ",264,NA,NA,NA,NA,NA,NA,NA,NA,21,242,2,NA,NA,36.2
"DANIELTHOMAS","Daniel Thomas","RB","MIA",265,NA,NA,NA,NA,NA,55,209,2,5,30,0,NA,NA,35.9
"ANDREWQUARLESS","Andrew Quarless","TE","GB",265,NA,NA,NA,NA,NA,NA,NA,NA,21,239,2,NA,NA,35.9
"LANCEKENDRICKS","Lance Kendricks","TE","STL",267,NA,NA,NA,NA,NA,NA,NA,NA,24,238,2,NA,NA,35.8
"GREGLITTLE","Greg Little","WR","OAK",268,NA,NA,NA,NA,NA,0,0,0,21,294,1,NA,NA,35.4
"TEDGINN","Ted Ginn","WR","ARI",268,NA,NA,NA,NA,NA,3,20,0,20,274,1,NA,NA,35.4
"DENARIUSMOORE","Denarius Moore","WR","OAK",270,NA,NA,NA,NA,NA,0,0,0,20,292,1,NA,NA,35.2
"CLAYHARBOR","Clay Harbor","TE","JAX",271,NA,NA,NA,NA,NA,NA,NA,NA,21,221,2,NA,NA,34.1
"JERMICHAELFINLEY","Jermichael Finley","TE","",272,NA,NA,NA,NA,NA,NA,NA,NA,20,220,2,NA,NA,34
"BRIANHOYER","Brian Hoyer","QB","CLE",273,70,38,456,3,2,4,11,0,NA,NA,NA,NA,NA,33.9
"MARQUESSWILSON","Marquess Wilson","WR","CHI",274,NA,NA,NA,NA,NA,0,0,0,18,216,2,NA,NA,33.6
"LUKEWILLSON","Luke Willson","TE","SEA",275,NA,NA,NA,NA,NA,NA,NA,NA,16,208,2,NA,NA,32.8
"DEREKCARR","Derek Carr","QB","OAK",276,65,37,440,3,3,4,12,0,NA,NA,NA,NA,NA,32.2
"JOSHHILL","Josh Hill","TE","NO",277,NA,NA,NA,NA,NA,NA,NA,NA,19,198,2,NA,NA,31.8
"LATAVIUSMURRAY","Latavius Murray","RB","OAK",278,NA,NA,NA,NA,NA,50,213,1,6,42,0,NA,NA,31.5
"ACESANDERS","Ace Sanders","WR","JAX",279,NA,NA,NA,NA,NA,1,5,0,22,249,1,NA,NA,31.4
"JASONAVANT","Jason Avant","WR","CAR",279,NA,NA,NA,NA,NA,0,0,0,20,254,1,NA,NA,31.4
"STEPHENHILL","Stephen Hill","WR","NYJ",281,NA,NA,NA,NA,NA,0,0,0,18,252,1,NA,NA,31.2
"QUINTONPATTON","Quinton Patton","WR","SF",282,NA,NA,NA,NA,NA,2,12,0,19,232,1,NA,NA,30.4
"JACKIEBATTLE","Jackie Battle","RB","TEN",283,NA,NA,NA,NA,NA,50,195,1,6,45,0,NA,NA,30
"JOHNCARLSON","John Carlson","TE","ARI",284,NA,NA,NA,NA,NA,NA,NA,NA,23,237,1,NA,NA,29.7
"JOSEPHFAURIA","Joseph Fauria","TE","DET",285,NA,NA,NA,NA,NA,NA,NA,NA,16,176,2,NA,NA,29.6
"MIKEGLENNON","Mike Glennon","QB","TB",286,70,40,455,2,2,4,6,0,NA,NA,NA,NA,NA,29.35
"TAVARRESKING","Tavarres King","WR","CAR",287,NA,NA,NA,NA,NA,0,0,0,18,227,1,NA,NA,28.7
"DARYLRICHARDSON","Daryl Richardson","RB","NYJ",288,NA,NA,NA,NA,NA,40,164,1,9,61,0,NA,NA,28.5
"CJFIEDOROWICZ","C.J. Fiedorowicz","TE","HOU",288,NA,NA,NA,NA,NA,NA,NA,NA,15,165,2,NA,NA,28.5
"JUSTINFORSETT","Justin Forsett","RB","BAL",290,NA,NA,NA,NA,NA,40,158,1,10,65,0,NA,NA,28.3
"JOEMORGAN","Joe Morgan","WR","NO",291,NA,NA,NA,NA,NA,0,0,0,14,221,1,NA,NA,28.1
"DENARDROBINSON","Denard Robinson","RB","JAX",292,NA,NA,NA,NA,NA,55,198,1,3,21,0,NA,NA,27.9
"TROYNIKLAS","Troy Niklas","TE","ARI",293,NA,NA,NA,NA,NA,NA,NA,NA,21,218,1,NA,NA,27.8
"DRIARCHER","Dri Archer","RB","PIT",294,NA,NA,NA,NA,NA,20,84,0,17,128,1,NA,NA,27.2
"MARIOMANNINGHAM","Mario Manningham","WR","NYG",295,NA,NA,NA,NA,NA,0,0,0,17,211,1,NA,NA,27.1
"LEONARDHANKERSON","Leonard Hankerson","WR","WAS",296,NA,NA,NA,NA,NA,0,0,0,17,207,1,NA,NA,26.7
"JACOBYJONES","Jacoby Jones","WR","BAL",296,NA,NA,NA,NA,NA,2,8,0,17,199,1,NA,NA,26.7
"DARICKROGERS","DaRick Rogers","WR","IND",298,NA,NA,NA,NA,NA,1,5,0,15,201,1,NA,NA,26.6
"JONATHANGRIMES","Jonathan Grimes","RB","HOU",299,NA,NA,NA,NA,NA,40,162,1,6,42,0,NA,NA,26.4
"DWAYNEHARRIS","Dwayne Harris","WR","DAL",300,NA,NA,NA,NA,NA,1,5,0,16,194,1,NA,NA,25.9
"MARTAVISBRYANT","Martavis Bryant","WR","PIT",301,NA,NA,NA,NA,NA,0,0,0,16,198,1,NA,NA,25.8
"TRAVARISCADET","Travaris Cadet","RB","NO",302,NA,NA,NA,NA,NA,40,162,1,5,35,0,NA,NA,25.7
"MARQUISEGOODWIN","Marquise Goodwin","WR","BUF",303,NA,NA,NA,NA,NA,2,8,0,13,187,1,NA,NA,25.5
"ROBHOUSLER","Rob Housler","TE","ARI",304,NA,NA,NA,NA,NA,NA,NA,NA,18,194,1,NA,NA,25.4
"LACHESEASTRUNK","Lache Seastrunk","RB","WAS",305,NA,NA,NA,NA,NA,40,164,1,4,28,0,NA,NA,25.2
"DARRIUSHEYWARDBEY","Darrius Heyward-Bey","WR","PIT",306,NA,NA,NA,NA,NA,1,4,0,13,187,1,NA,NA,25.1
"CHRISOWUSU","Chris Owusu","WR","TB",307,NA,NA,NA,NA,NA,0,0,0,17,189,1,NA,NA,24.9
"DEANTHONYTHOMAS","DeAnthony Thomas","RB","KC",308,NA,NA,NA,NA,NA,40,160,1,4,28,0,NA,NA,24.8
"JOSHHUFF","Josh Huff","WR","PHI",308,NA,NA,NA,NA,NA,0,0,0,15,188,1,NA,NA,24.8
"KIRKCOUSINS","Kirk Cousins","QB","WAS",310,45,27,326,2,1,4,14,0,NA,NA,NA,NA,NA,24.7
"RYANBROYLES","Ryan Broyles","WR","DET",310,NA,NA,NA,NA,NA,0,0,0,16,187,1,NA,NA,24.7
"MARCELREECE","Marcel Reece","RB","OAK",312,NA,NA,NA,NA,NA,20,90,0,20,154,0,NA,NA,24.4
"MYCHALRIVERA","Mychal Rivera","TE","OAK",313,NA,NA,NA,NA,NA,NA,NA,NA,17,179,1,NA,NA,23.9
"MICHAELVICK","Michael Vick","QB","NYJ",314,30,17,201,1,1,8,48,1,NA,NA,NA,NA,NA,23.85
"ANTHONYDIXON","Anthony Dixon","RB","BUF",315,NA,NA,NA,NA,NA,40,164,1,2,14,0,NA,NA,23.8
"JEFFCUMBERLAND","Jeff Cumberland","TE","NYJ",316,NA,NA,NA,NA,NA,NA,NA,NA,16,176,1,NA,NA,23.6
"ROBERTTURBIN","Robert Turbin","RB","SEA",317,NA,NA,NA,NA,NA,35,144,1,4,31,0,NA,NA,23.5
"CHARLIEWHITEHURST","Charlie Whitehurst","QB","TEN",318,50,27,313,2,1,4,8,0,NA,NA,NA,NA,NA,23.45
"MICHAELFORD","Michael Ford","RB","CHI",319,NA,NA,NA,NA,NA,39,160,1,2,14,0,NA,NA,23.4
"LARRYDONNELL","Larry Donnell","TE","NYG",320,NA,NA,NA,NA,NA,NA,NA,NA,16,171,1,NA,NA,23.1
"DARIUSJOHNSON","Darius Johnson","WR","ATL",321,NA,NA,NA,NA,NA,0,0,0,13,169,1,NA,NA,22.9
"KENBRELLTHOMPKINS","Kenbrell Thompkins","WR","NE",321,NA,NA,NA,NA,NA,0,0,0,13,169,1,NA,NA,22.9
"RISHARDMATTHEWS","Rishard Matthews","WR","MIA",323,NA,NA,NA,NA,NA,0,0,0,15,168,1,NA,NA,22.8
"BENJARVUSGREENELLIS","BenJarvus Green-Ellis","RB","CIN",324,NA,NA,NA,NA,NA,40,146,1,3,21,0,NA,NA,22.7
"MATTASIATA","Matt Asiata","RB","MIN",325,NA,NA,NA,NA,NA,30,126,1,6,40,0,NA,NA,22.6
"BENJAMINWATSON","Ben Watson","TE","NO",326,NA,NA,NA,NA,NA,NA,NA,NA,15,165,1,NA,NA,22.5
"VANCEMCDONALD","Vance McDonald","TE","SF",326,NA,NA,NA,NA,NA,NA,NA,NA,13,165,1,NA,NA,22.5
"ALFREDBLUE","Alfred Blue","RB","HOU",328,NA,NA,NA,NA,NA,35,140,1,3,21,0,NA,NA,22.1
"AJJENKINS","A.J. Jenkins","WR","KC",329,NA,NA,NA,NA,NA,2,8,0,11,145,1,NA,NA,21.3
"ANTHONYFASANO","Anthony Fasano","TE","KC",330,NA,NA,NA,NA,NA,NA,NA,NA,17,148,1,NA,NA,20.8
"JOSHMORGAN","Josh Morgan","WR","CHI",331,NA,NA,NA,NA,NA,1,5,0,13,142,1,NA,NA,20.7
"JACOBTAMME","Jacob Tamme","TE","DEN",332,NA,NA,NA,NA,NA,NA,NA,NA,15,146,1,NA,NA,20.6
"MIKEBROWN","Mike Brown","WR","JAX",333,NA,NA,NA,NA,NA,0,0,0,11,144,1,NA,NA,20.4
"ANDRECALDWELL","Andre Caldwell","WR","DEN",334,NA,NA,NA,NA,NA,0,0,0,11,138,1,NA,NA,19.8
"JUSTINBROWN","Justin Brown","WR","PIT",335,NA,NA,NA,NA,NA,0,0,0,10,135,1,NA,NA,19.5
"RYANGRIFFIN","Ryan Griffin","TE","HOU",336,NA,NA,NA,NA,NA,NA,NA,NA,12,134,1,NA,NA,19.4
"DEMETRIUSHARRIS","Demetrius Harris","TE","KC",337,NA,NA,NA,NA,NA,NA,NA,NA,13,130,1,NA,NA,19
"BRANDONLLOYD","Brandon Lloyd","WR","SF",338,NA,NA,NA,NA,NA,0,0,0,15,182,0,NA,NA,18.2
"ROBERTMEACHEM","Robert Meachem","WR","NO",338,NA,NA,NA,NA,NA,1,4,0,8,118,1,NA,NA,18.2
"BLAINEGABBERT","Blaine Gabbert","QB","SF",340,40,24,281,1,1,2,7,0,NA,NA,NA,NA,NA,17.75
"JAMESCASEY","James Casey","TE","PHI",341,NA,NA,NA,NA,NA,NA,NA,NA,11,116,1,NA,NA,17.6
"JAREDABBREDERIS","Jared Abbrederis","WR","GB",342,NA,NA,NA,NA,NA,0,0,0,9,112,1,NA,NA,17.2
"BRANDONWILLIAMS","Brandon Williams","TE","CAR",343,NA,NA,NA,NA,NA,NA,NA,NA,11,110,1,NA,NA,17
"LORENZOTALIAFERRO","Lorenzo Taliaferro","RB","BAL",344,NA,NA,NA,NA,NA,35,140,0,4,26,0,NA,NA,16.6
"DAVIDPAULSON","David Paulson","TE","PIT",345,NA,NA,NA,NA,NA,NA,NA,NA,9,99,1,NA,NA,15.9
"ISAIAHCROWELL","Isaiah Crowell","RB","CLE",346,NA,NA,NA,NA,NA,30,122,0,5,34,0,NA,NA,15.6
"MARKSANCHEZ","Mark Sanchez","QB","PHI",347,30,19,215,1,1,4,14,0,NA,NA,NA,NA,NA,15.15
"ERICPAGE","Eric Page","WR","TB",348,NA,NA,NA,NA,NA,1,4,0,12,146,0,NA,NA,15
"BRANDONBOLDEN","Brandon Bolden","RB","NE",349,NA,NA,NA,NA,NA,15,63,1,3,22,0,NA,NA,14.5
"THEORIDDICK","Theo Riddick","RB","DET",350,NA,NA,NA,NA,NA,14,55,1,3,23,0,NA,NA,13.8
"SANTANAMOSS","Santana Moss","WR","WAS",351,NA,NA,NA,NA,NA,0,0,0,11,132,0,NA,NA,13.2
"BRUCEGRADKOWSKI","Bruce Gradkowski","QB","PIT",352,25,15,175,1,0,2,2,0,NA,NA,NA,NA,NA,12.95
"LAMICHAELJAMES","LaMichael James","RB","SF",353,NA,NA,NA,NA,NA,25,100,0,4,28,0,NA,NA,12.8
"DEVIERPOSEY","DeVier Posey","WR","HOU",354,NA,NA,NA,NA,NA,0,0,0,11,127,0,NA,NA,12.7
"BRUCEMILLER","Bruce Miller","RB","SF",355,NA,NA,NA,NA,NA,6,18,0,14,105,0,NA,NA,12.3
"ANTHONYSHERMAN","Anthony Sherman","RB","KC",355,NA,NA,NA,NA,NA,7,28,0,12,95,0,NA,NA,12.3
"DAMARISJOHNSON","Damaris Johnson","WR","PHI",357,NA,NA,NA,NA,NA,0,0,0,10,121,0,NA,NA,12.1
"THADDEUSLEWIS","Thaddeus Lewis","QB","BUF",358,25,14,159,1,1,3,8,0,NA,NA,NA,NA,NA,11.75
"LOUISMURPHY","Louis Murphy","WR","TB",359,NA,NA,NA,NA,NA,0,0,0,9,114,0,NA,NA,11.4
"BRANDONWEEDEN","Brandon Weeden","QB","DAL",360,20,12,146,1,1,2,9,0,NA,NA,NA,NA,NA,11.2
"MATTHASSELBECK","Matt Hasselbeck","QB","IND",361,20,12,140,1,0,1,1,0,NA,NA,NA,NA,NA,11.1
"ANTONESMITH","Antone Smith","RB","ATL",361,NA,NA,NA,NA,NA,19,77,0,5,34,0,NA,NA,11.1
"KELLENCLEMENS","Kellen Clemens","QB","SD",363,20,12,144,1,1,3,8,0,NA,NA,NA,NA,NA,11
"DANIELFELLS","Daniel Fells","TE","NYG",364,NA,NA,NA,NA,NA,NA,NA,NA,10,108,0,NA,NA,10.8
"KYLEWILLIAMS","Kyle Williams","WR","KC",365,NA,NA,NA,NA,NA,2,10,0,8,96,0,NA,NA,10.6
"TJGRAHAM","T.J. Graham","WR","BUF",365,NA,NA,NA,NA,NA,1,4,0,8,102,0,NA,NA,10.6
"DIONSIMS","Dion Sims","TE","MIA",367,NA,NA,NA,NA,NA,NA,NA,NA,11,105,0,NA,NA,10.5
"DANORLOVSKY","Dan Orlovsky","QB","DET",368,20,11,140,1,1,2,2,0,NA,NA,NA,NA,NA,10.2
"MATTFLYNN","Matt Flynn","QB","GB",369,25,15,185,0,0,3,9,0,NA,NA,NA,NA,NA,10.15
"KEVINOGLETREE","Kevin Ogletree","WR","",370,NA,NA,NA,NA,NA,0,0,0,8,100,0,NA,NA,10
"TRAVISBENJAMIN","Travis Benjamin","WR","CLE",370,NA,NA,NA,NA,NA,1,5,0,8,95,0,NA,NA,10
