position,positionRank,player,team,teams4,teams6,teams8,teams10,teams12,teams14,teams16,teams18,teams20
WR,29,Martavis Bryant,PIT,,,4,7,11,15,17,19,20
WR,30,Brandon LaFell,NE,,,3,5,10,13,16,18,19
WR,31,Anquan Boldin,SF,,,3,5,9,13,16,18,19
WR,32,Michael Floyd,ARI,,,3,5,9,13,16,18,19
WR,33,Roddy White,ATL,,,3,5,9,13,16,17,19
WR,34,Torrey Smith,SF,,,3,5,9,13,16,17,19
WR,35,Eric Decker,NYJ,,,2,5,9,13,15,17,18
WR,36,Allen Robinson,JAC,,,2,4,8,12,15,16,18
WR,37,Marques Colston,NO,,,1,4,7,11,14,16,17
WR,38,Jarvis Landry,MIA,,,1,3,7,10,13,15,17
WR,39,Steve Smith,BAL,,,,3,6,10,13,15,16
WR,40,Breshad Perriman,BAL,,,,2,6,9,12,14,16
WR,41,Nelson Agholor,PHI,,,,2,6,9,12,14,16
WR,42,Larry Fitzgerald,ARI,,,,2,6,9,12,14,16
WR,43,John Brown,ARI,,,,2,6,9,12,14,16
WR,44,Charles Johnson,MIN,,,,2,6,9,12,14,16
WR,45,Malcom Floyd,SD,,,,1,5,9,11,13,15
WR,46,Pierre Garcon,WAS,,,,1,4,8,11,13,14
WR,47,Kenny Stills,MIA,,,,1,4,8,11,12,14
WR,48,Terrance Williams,DAL,,,,1,4,8,10,12,14
WR,49,Kevin White,CHI,,,,,4,8,10,12,14
WR,50,Kendall Wright,TEN,,,,,4,7,10,12,14
WR,51,Doug Baldwin,SEA,,,,,4,7,10,12,14
WR,52,Rueben Randle,NYG,,,,,4,7,10,12,13
WR,53,Davante Adams,GB,,,,,2,6,8,9,11
WR,54,Dwayne Bowe,CLE,,,,,2,5,8,9,11
WR,55,Victor Cruz,NYG,,,,,1,5,8,9,11
WR,56,Kenny Britt,STL,,,,,1,5,7,8,10
WR,57,DeVante Parker,MIA,,,,,1,4,7,8,10
WR,58,Percy Harvin,BUF,,,,,,4,7,8,10
WR,59,Michael Crabtree,OAK,,,,,,4,6,8,9
WR,60,Marvin Jones,CIN,,,,,,3,6,7,8
WR,61,Cody Latimer,DEN,,,,,,3,6,7,8
WR,62,Brian Quick,STL,,,,,,3,6,7,8
WR,63,Marqise Lee,JAC,,,,,,3,5,7,8
WR,64,Dorial Green-Beckham,TEN,,,,,,2,5,6,8
WR,65,Andrew Hawkins,CLE,,,,,,2,5,6,7
WR,66,Greg Jennings,MIA,,,,,,2,4,5,7
WR,67,Steve Johnson,SD,,,,,,2,4,5,7
WR,68,Brian Hartline,CLE,,,,,,1,3,5,6
WR,69,Devin Funchess,CAR,,,,,,1,3,4,6
WR,70,Cole Beasley,DAL,,,,,,1,3,4,6
WR,71,Jaelen Strong,HOU,,,,,,,2,4,6
WR,72,Markus Wheaton,PIT,,,,,,,2,4,5
WR,73,Nick Toon,NO,,,,,,,2,3,5
WR,74,Eddie Royal,CHI,,,,,,,2,3,5
WR,75,Donte Moncrief,IND,,,,,,,2,3,5
WR,76,Jermaine Kearse,SEA,,,,,,,2,3,5
WR,77,Tavon Austin,STL,,,,,,,2,3,5
WR,78,Robert Woods,BUF,,,,,,,2,3,5
WR,79,Allen Hurns,JAC,,,,,,,2,3,5
WR,80,Jarius Wright,MIN,,,,,,,2,2,4
WR,81,Cecil Shorts,HOU,,,,,,,2,2,4
WR,82,Mohamed Sanu,CIN,,,,,,,1,2,4
WR,83,Chris Conley,KC,,,,,,,1,2,4
WR,84,Justin Hunter,TEN,,,,,,,1,2,3
WR,85,Matt Willis,,,,,,,,,2,3
WR,86,Phillip Dorsett,IND,,,,,,,,2,3
WR,87,Tyler Lockett,SEA,,,,,,,,1,3
WR,88,Taylor Gabriel,CLE,,,,,,,,1,3
WR,89,De'Anthony Thomas,KC,,,,,,,,1,2
WR,90,Kamar Aiken,BAL,,,,,,,,1,2
WR,91,Rod Streater,OAK,,,,,,,,1,2
WR,92,Cordarrelle Patterson,MIN,,,,,,,,1,2
WR,93,Danny Amendola,NE,,,,,,,,1,2
WR,94,James Jones,,,,,,,,,1,2
WR,95,Andre Roberts,WAS,,,,,,,,1,2
WR,96,Riley Cooper,PHI,,,,,,,,1,2
WR,97,Nate Washington,HOU,,,,,,,,1,2
WR,98,Devin Smith,NYJ,,,,,,,,,2
WR,99,Stedman Bailey,STL,,,,,,,,,2
WR,100,Justin Hardy,ATL,,,,,,,,,2
WR,101,Jeremy Kerley,NYJ,,,,,,,,,2
WR,102,Andre Holmes,OAK,,,,,,,,,2
WR,103,Albert Wilson,KC,,,,,,,,,2
WR,104,Jerricho Cotchery,CAR,,,,,,,,,1
WR,105,Harry Douglas,TEN,,,,,,,,,1
WR,106,Devin Hester,ATL,,,,,,,,,1
WR,107,Louis Murphy,TB,,,,,,,,,1
WR,108,Philly Brown,CAR,,,,,,,,,1
TE,1,Rob Gronkowski,NE,47,50,48,46,45,44,44,43,40
TE,2,Jimmy Graham,SEA,17,23,24,25,25,25,27,27,26
TE,3,Greg Olsen,CAR,9,13,16,17,18,18,21,22,20
TE,4,Travis Kelce,KC,6,11,13,15,16,16,18,20,19
TE,5,Martellus Bennett,CHI,3,7,9,10,11,12,15,16,16
TE,6,Jason Witten,DAL,1,4,7,8,9,10,13,14,14
TE,7,Zach Ertz,PHI,,3,5,6,7,8,11,12,12
TE,8,Delanie Walker,TEN,,1,2,4,6,6,9,10,11
TE,9,Julius Thomas,JAC,,1,2,4,6,6,9,10,11
TE,10,Dwayne Allen,IND,,,2,4,5,6,8,10,10
TE,11,Josh Hill,NO,,,1,3,4,5,8,9,10
TE,12,Coby Fleener,IND,,,1,3,4,5,7,9,9
TE,13,Jordan Cameron,MIA,,,,2,3,4,6,8,9
TE,14,Antonio Gates,SD,,,,2,3,3,6,8,8
TE,15,Heath Miller,PIT,,,,2,3,3,5,7,8
TE,16,Charles Clay,BUF,,,,1,2,2,4,6,7
TE,17,Kyle Rudolph,MIN,,,,,1,2,4,6,6
TE,18,Vernon Davis,SF,,,,,1,2,4,6,6
TE,19,Owen Daniels,DEN,,,,,1,1,3,5,6
TE,20,Larry Donnell,NYG,,,,,,1,3,5,6
TE,21,Tyler Eifert,CIN,,,,,,1,3,5,6
TE,22,Jared Cook,STL,,,,,,1,3,5,6
TE,23,Austin Seferian-Jenkins,TB,,,,,,,3,5,5
TE,24,Jordan Reed,WAS,,,,,,,1,3,4
TE,25,Eric Ebron,DET,,,,,,,1,3,4
TE,26,Jace Amaro,NYJ,,,,,,,1,3,4
TE,27,Ladarius Green,SD,,,,,,,,1,2
TE,28,Maxx Williams,BAL,,,,,,,,1,2
TE,29,Mychal Rivera,OAK,,,,,,,,1,2
TE,30,Richard Rodgers,GB,,,,,,,,,2
TE,31,Rob Housler,CLE,,,,,,,,,1
TE,32,Jacob Tamme,ATL,,,,,,,,,1
K,1,Stephen Gostkowski,NE,1,1,1,1,1,1,1,1,1
K,2,Justin Tucker,BAL,1,1,1,1,1,1,1,1,1
K,3,Mason Crosby,GB,1,1,1,1,1,1,1,1,1
K,4,Cody Parkey,PHI,1,1,1,1,1,1,1,1,1
K,5,Connor Barth,DEN,,1,1,1,1,1,1,1,1
K,6,Steven Hauschka,SEA,,1,1,1,1,1,1,1,1
K,7,Adam Vinatieri,IND,,,1,1,1,1,1,1,1
K,8,Shayne Graham,,,,1,1,1,1,1,1,1
K,9,Dan Bailey,DAL,,,,1,1,1,1,1,1
K,10,Dan Carpenter,BUF,,,,1,1,1,1,1,1
K,11,Shaun Suisham,PIT,,,,,1,1,1,1,1
K,12,Chandler Catanzaro,ARI,,,,,1,1,1,1,1
K,13,Matt Bryant,ATL,,,,,,1,1,1,1
K,14,Blair Walsh,MIN,,,,,,1,1,1,1
K,15,Dustin Hopkins,NO,,,,,,,1,1,1
K,16,Josh Brown,NYG,,,,,,,1,1,1
K,17,Cairo Santos,KC,,,,,,,,1,1
K,18,Phil Dawson,SF,,,,,,,,1,1
K,19,Graham Gano,CAR,,,,,,,,,1
K,20,Caleb Sturgis,MIA,,,,,,,,,1
DST,1,Buffalo Bills,BUF,2,2,2,2,2,2,2,2,2
DST,2,Philadelphia Eagles,PHI,1,2,2,2,2,2,2,2,2
DST,3,St. Louis Rams,STL,1,1,2,2,2,2,2,2,2
DST,4,Carolina Panthers,CAR,1,1,2,2,2,2,2,2,2
DST,5,Houston Texans,HOU,,1,2,2,2,2,2,2,2
DST,6,Seattle Seahawks,SEA,,1,2,2,2,2,2,2,2
DST,7,New England Patriots,NE,,,1,1,1,1,2,2,2
DST,8,Miami Dolphins,MIA,,,1,1,1,1,1,1,1
DST,9,Arizona Cardinals,ARZ,,,,1,1,1,1,1,1
DST,10,New York Jets,NYJ,,,,1,1,1,1,1,1
DST,11,Green Bay Packers,GB,,,,,1,1,1,1,1
DST,12,Indianapolis Colts,IND,,,,,1,1,1,1,1
DST,13,New York Giants,NYG,,,,,,1,1,1,1
DST,14,Baltimore Ravens,BAL,,,,,,1,1,1,1
DST,15,Tampa Bay Buccaneers,TB,,,,,,,1,1,1
DST,16,Jacksonville Jaguars,JAC,,,,,,,1,1,1
DST,17,San Francisco 49ers,SF,,,,,,,,1,1
DST,18,Denver Broncos,DEN,,,,,,,,1,1
DST,19,New Orleans Saints,NO,,,,,,,,,1
DST,20,Washington Redskins,WAS,,,,,,,,,1
