"name","nameMerge","pos","team","year","points","overallRank","positionRank","vor"
"MATT RYAN","MATTRYAN","QB","ATL",2010,254.4,9,8,34.24
"MICHAEL BUSH","MICHAELBUSH","RB","OAK",2010,132.9,100,27,32.3
"VERNON DAVIS","VERNONDAVIS","TE","SFO",2010,133.4,98,3,31.8
"MATT SCHAUB","MATTSCHAUB","QB","HOU",2010,249.6,10,9,29.44
"MARCEDES LEWIS","MARCEDESLEWIS","TE","JAX",2010,130,106,4,28.4
"BRANDON JACKSON","BRANDONJACKSON","RB","GNB",2010,128.5,108,28,27.9
"RONNIE BROWN","RONNIEBROWN","RB","MIA",2010,127.6,109,29,27
"PERCY HARVIN","PERCYHARVIN","WR","MIN",2010,133.5,96,20,26.4
"BRAYLON EDWARDS","BRAYLONEDWARDS","WR","NYJ",2010,132.8,101,21,25.7
"KENNY BRITT","KENNYBRITT","WR","TEN",2010,131.5,104,22,24.4
"RYAN MATHEWS","RYANMATHEWS","RB","SDG",2010,124.3,115,30,23.7
"MARSHAWN LYNCH","MARSHAWNLYNCH","RB","2TM",2010,124.2,117,31,23.6
"RYAN TORAIN","RYANTORAIN","RB","WAS",2010,122.7,119,32,22.1
"DANNY WOODHEAD","DANNYWOODHEAD","WR","2TM",2010,128.6,107,23,21.5
"ELI MANNING","ELIMANNING","QB","NYG",2010,241.08,14,10,20.92
"WES WELKER","WESWELKER","WR","NWE",2010,126.8,110,24,19.7
"JOE FLACCO","JOEFLACCO","QB","BAL",2010,239.28,15,11,19.12
"JOHNNY KNOX","JOHNNYKNOX","WR","CHI",2010,126.2,111,25,19.1
"ANQUAN BOLDIN","ANQUANBOLDIN","WR","BAL",2010,125.66,113,26,18.56
"LANCE MOORE","LANCEMOORE","WR","NOR",2010,124.3,115,27,17.2
"TIM HIGHTOWER","TIMHIGHTOWER","RB","ARI",2010,117.2,131,33,16.6
"DERRICK MASON","DERRICKMASON","WR","BAL",2010,122.2,121,28,15.1
"NEW ENGLAND PATRIOTS","NEWENGLANDPATRIOTS","Def",NA,2010,202.22784,34,1,13.29728
"ROB GRONKOWSKI","ROBGRONKOWSKI","TE","NWE",2010,114.6,135,5,13
"BRANDON MARSHALL","BRANDONMARSHALL","WR","MIA",2010,119.7,127,29,12.6
"MATT CASSEL","MATTCASSEL","QB","KAN",2010,231.14,17,12,10.98
"DEION BRANCH","DEIONBRANCH","WR","2TM",2010,117.8,129,30,10.7
"MIKE THOMAS","MIKETHOMAS","WR","JAX",2010,117.4,130,31,10.3
"DAVID GARRARD","DAVIDGARRARD","QB","JAX",2010,229.26,18,13,9.09999999999997
"PIERRE GARCON","PIERREGARCON","WR","IND",2010,115,132,32,7.89999999999999
"CARSON PALMER","CARSONPALMER","QB","CIN",2010,227.8,19,14,7.63999999999999
"AUSTIN COLLIE","AUSTINCOLLIE","WR","IND",2010,112.9,138,33,5.8
"SANTONIO HOLMES","SANTONIOHOLMES","WR","NYJ",2010,112.3,140,34,5.2
"JONATHAN STEWART","JONATHANSTEWART","RB","CAR",2010,105.3,152,34,4.69999999999999
"DAVONE BESS","DAVONEBESS","WR","MIA",2010,111.7,141,35,4.59999999999999
"MICHAEL CRABTREE","MICHAELCRABTREE","WR","SFO",2010,110.1,143,36,3
"CHRIS IVORY","CHRISIVORY","RB","NOR",2010,103.3,159,35,2.7
"KELLEN WINSLOW","KELLENWINSLOW","TE","TAM",2010,103,160,6,1.39999999999999
"CHRIS COOLEY","CHRISCOOLEY","TE","WAS",2010,102.9,163,7,1.3
"MALCOM FLOYD","MALCOMFLOYD","WR","SDG",2010,107.7,147,37,0.599999999999994
"JAY CUTLER","JAYCUTLER","QB","CHI",2010,220.16,23,15,0
"SHONN GREENE","SHONNGREENE","RB","NYJ",2010,100.6,165,36,0
"CHAD JOHNSON","CHADJOHNSON","WR","CIN",2010,107.1,149,38,0
"TONY GONZALEZ","TONYGONZALEZ","TE","ATL",2010,101.6,164,8,0
"SEBASTIAN JANIKOWSKI","SEBASTIANJANIKOWSKI","K","OAK",2010,150,74,1,0
"GREEN BAY PACKERS","GREENBAYPACKERS","Def",NA,2010,188.93056,41,2,0
"NATE BURLESON","NATEBURLESON","WR","DET",2010,106.6,150,39,-0.500000000000014
"RICKY WILLIAMS","RICKYWILLIAMS","RB","MIA",2010,99.4,168,37,-1.2
"PITTSBURGH STEELERS","PITTSBURGHSTEELERS","Def",NA,2010,187.67904,42,3,-1.25152000000003
"HINES WARD","HINESWARD","WR","PIT",2010,105.3,152,40,-1.80000000000001
"ANTHONY ARMSTRONG","ANTHONYARMSTRONG","WR","WAS",2010,105.1,154,41,-2
"DAVID AKERS","DAVIDAKERS","K","PHI",2010,148,77,2,-2
"KYLE ORTON","KYLEORTON","QB","DEN",2010,217.92,24,16,-2.24000000000001
"DUSTIN KELLER","DUSTINKELLER","TE","NYJ",2010,98.7,172,9,-2.90000000000001
"ZACH MILLER","ZACHMILLER","TE","OAK",2010,98.5,173,10,-3.10000000000001
"NATE WASHINGTON","NATEWASHINGTON","WR","TEN",2010,103.9,158,42,-3.2
"CADILLAC WILLIAMS","CADILLACWILLIAMS","RB","TAM",2010,97.2,176,38,-3.40000000000001
"BEN ROETHLISBERGER","BENROETHLISBERGER","QB","PIT",2010,215.6,27,17,-4.56000000000003
"AARON HERNANDEZ","AARONHERNANDEZ","TE","NWE",2010,97,177,11,-4.60000000000001
"BRANDON PETTIGREW","BRANDONPETTIGREW","TE","DET",2010,96.2,179,12,-5.40000000000001
"BEN WATSON","BENWATSON","TE","CLE",2010,94.2,184,13,-7.40000000000001
"JABAR GAFFNEY","JABARGAFFNEY","WR","DEN",2010,99.5,167,43,-7.60000000000001
"JASON SNELLING","JASONSNELLING","RB","ATL",2010,92.7,186,39,-7.90000000000001
"RASHAD JENNINGS","RASHADJENNINGS","RB","JAX",2010,92.2,187,40,-8.40000000000001
"MIKE SIMSWALKER","MIKESIMSWALKER","WR","JAX",2010,98.2,174,44,-8.90000000000001
"JAMES JONES","JAMESJONES","WR","GNB",2010,97.9,175,45,-9.2
"JUSTIN FORSETT","JUSTINFORSETT","RB","SEA",2010,89.5,191,41,-11.1
"RYAN FITZPATRICK","RYANFITZPATRICK","QB","BUF",2010,208.9,30,18,-11.26
"TODD HEAP","TODDHEAP","TE","BAL",2010,89.9,190,14,-11.7
"ROBERT MEACHEM","ROBERTMEACHEM","WR","NOR",2010,95.2,180,46,-11.9
"DANNY AMENDOLA","DANNYAMENDOLA","WR","STL",2010,95,181,47,-12.1
"KEILAND WILLIAMS","KEILANDWILLIAMS","RB","WAS",2010,87,194,42,-13.6
"ADAM VINATIERI","ADAMVINATIERI","K","IND",2010,136,93,3,-14
"JACOB TAMME","JACOBTAMME","TE","IND",2010,87.1,193,15,-14.5
"JOSEPH ADDAI","JOSEPHADDAI","RB","IND",2010,85.9,197,43,-14.7
"MATT BRYANT","MATTBRYANT","K","ATL",2010,135,94,4,-15
"KEVIN WALTER","KEVINWALTER","WR","HOU",2010,92.1,188,48,-15
"NEW YORK JETS","NEWYORKJETS","Def",NA,2010,172.99456,47,4,-15.936
"NEIL RACKERS","NEILRACKERS","K","HOU",2010,132,103,5,-18
"MARK SANCHEZ","MARKSANCHEZ","QB","NYJ",2010,202.14,35,19,-18.02
"DONALD BROWN","DONALDBROWN","RB","IND",2010,82.2,201,44,-18.4
"KEVIN BOSS","KEVINBOSS","TE","NYG",2010,83.1,199,16,-18.5
"JOSH BROWN","JOSHBROWN","K","STL",2010,131,105,6,-19
"MIKE WILLIAMS","MIKEWILLIAMS","WR","SEA",2010,87.1,192,49,-20
"MAURICE MORRIS","MAURICEMORRIS","RB","DET",2010,80.6,206,45,-20
"EDDIE ROYAL","EDDIEROYAL","WR","DEN",2010,86.8,195,50,-20.3
"JACOBY FORD","JACOBYFORD","WR","OAK",2010,86.5,196,51,-20.6
"WILLIS MCGAHEE","WILLISMCGAHEE","RB","BAL",2010,79.5,208,46,-21.1
"BRIAN WESTBROOK","BRIANWESTBROOK","RB","SFO",2010,79,210,47,-21.6
"JOSH MORGAN","JOSHMORGAN","WR","SFO",2010,83.5,198,52,-23.6
"CHICAGO BEARS","CHICAGOBEARS","Def",NA,2010,165.0008,52,5,-23.92976
"ROY WILLIAMS","ROYWILLIAMS","WR","DAL",2010,83,200,53,-24.1
"ARIZONA CARDINALS","ARIZONACARDINALS","Def",NA,2010,164.70384,53,6,-24.22672
"ANTHONY FASANO","ANTHONYFASANO","TE","MIA",2010,76.8,216,17,-24.8
"NICK FOLK","NICKFOLK","K","NYJ",2010,125,114,7,-25
"STEVE BREASTON","STEVEBREASTON","WR","ARI",2010,81.98,202,54,-25.12
"LEE EVANS","LEEEVANS","WR","BUF",2010,81.8,203,55,-25.3
"SAM BRADFORD","SAMBRADFORD","QB","STL",2010,194.78,39,20,-25.38
"JOEL DREESSEN","JOELDREESSEN","TE","HOU",2010,75.8,218,18,-25.8
"BRENT CELEK","BRENTCELEK","TE","PHI",2010,75.1,220,19,-26.5
"DONALD DRIVER","DONALDDRIVER","WR","GNB",2010,80.5,207,56,-26.6
"JOHN KUHN","JOHNKUHN","RB","GNB",2010,73.8,225,48,-26.8
"DAN CARPENTER","DANCARPENTER","K","MIA",2010,123,118,8,-27
"ATLANTA FALCONS","ATLANTAFALCONS","Def",NA,2010,161.5184,57,7,-27.41216
"TONY MOEAKI","TONYMOEAKI","TE","KAN",2010,73.6,226,20,-28
"BILLY CUNDIFF","BILLYCUNDIFF","K","BAL",2010,121,122,9,-29
"JORDAN SHIPLEY","JORDANSHIPLEY","WR","CIN",2010,78,212,57,-29.1
"OAKLAND RAIDERS","OAKLANDRAIDERS","Def",NA,2010,159.1288,65,8,-29.80176
"LOUIS MURPHY","LOUISMURPHY","WR","OAK",2010,77.2,214,58,-29.9
"DAVID BUEHLER","DAVIDBUEHLER","K","DAL",2010,120,124,10,-30
"ROB BIRONAS","ROBBIRONAS","K","TEN",2010,120,124,10,-30
"BRANDON GIBSON","BRANDONGIBSON","WR","STL",2010,76.8,217,59,-30.3
"JERMAINE GRESHAM","JERMAINEGRESHAM","TE","CIN",2010,71.1,227,21,-30.5
"MARCEL REECE","MARCELREECE","RB","OAK",2010,69.5,232,49,-31.1
"BALTIMORE RAVENS","BALTIMORERAVENS","Def",NA,2010,157.796,68,9,-31.13456
"GREG OLSEN","GREGOLSEN","TE","CHI",2010,70.4,229,22,-31.2
"NEW YORK GIANTS","NEWYORKGIANTS","Def",NA,2010,157.20848,69,10,-31.72208
"BEN OBOMANU","BENOBOMANU","WR","SEA",2010,75.1,219,60,-32
"MASON CROSBY","MASONCROSBY","K","GNB",2010,118,128,12,-32
"EARL BENNETT","EARLBENNETT","WR","CHI",2010,75,221,61,-32.1
"JACOBY JONES","JACOBYJONES","WR","HOU",2010,74.9,222,62,-32.2
"DEVIN HESTER","DEVINHESTER","WR","CHI",2010,74.5,223,63,-32.6
"MARION BARBER","MARIONBARBER","RB","DAL",2010,66.3,240,50,-34.3
"NATE KAEDING","NATEKAEDING","K","SDG",2010,115,132,13,-35
"ROBBIE GOULD","ROBBIEGOULD","K","CHI",2010,115,132,13,-35
"JIMMY GRAHAM","JIMMYGRAHAM","TE","NOR",2010,65.9,241,23,-35.7
"JOSH SCOBEE","JOSHSCOBEE","K","JAX",2010,114,136,15,-36
"STEVE SMITH","STEVESMITH","WR","NYG",2010,70.9,228,64,-36.2
"VISANTHE SHIANCOE","VISANTHESHIANCOE","TE","MIN",2010,65,243,24,-36.6
"BRIAN HARTLINE","BRIANHARTLINE","WR","MIA",2010,70.2,230,65,-36.9
"JORDY NELSON","JORDYNELSON","WR","GNB",2010,70.2,230,65,-36.9
"RANDY MOSS","RANDYMOSS","WR","3TM",2010,69.3,233,67,-37.8
"CORRELL BUCKHALTER","CORRELLBUCKHALTER","RB","DEN",2010,62.7,249,51,-37.9
"DAVID GETTIS","DAVIDGETTIS","WR","CAR",2010,69,234,68,-38.1
"HEATH MILLER","HEATHMILLER","TE","PIT",2010,63.2,245,25,-38.4
"STEVE SMITH","STEVESMITH","WR","CAR",2010,68.3,236,69,-38.8
"DERRICK WARD","DERRICKWARD","RB","HOU",2010,61.6,252,52,-39
"BRANDON TATE","BRANDONTATE","WR","NWE",2010,67.4,239,70,-39.7
"JAY FEELY","JAYFEELY","K","ARI",2010,110,144,16,-40
"BEANIE WELLS","BEANIEWELLS","RB","ARI",2010,59.1,254,53,-41.5
"PIERRE THOMAS","PIERRETHOMAS","RB","NOR",2010,59,256,54,-41.6
"MOHAMED MASSAQUOI","MOHAMEDMASSAQUOI","WR","CLE",2010,65.16,242,71,-41.94
"CONNOR BARTH","CONNORBARTH","K","TAM",2010,108,145,17,-42
"OLINDO MARE","OLINDOMARE","K","SEA",2010,108,145,17,-42
"CHESTER TAYLOR","CHESTERTAYLOR","RB","CHI",2010,58.6,259,55,-42
"OWEN DANIELS","OWENDANIELS","TE","HOU",2010,59.1,254,26,-42.5
"JEREMY SHOCKEY","JEREMYSHOCKEY","TE","NOR",2010,58.8,257,27,-42.8
"JASON AVANT","JASONAVANT","WR","PHI",2010,63.3,244,72,-43.8
"DONOVAN MCNABB","DONOVANMCNABB","QB","WAS",2010,176.18,46,21,-43.98
"DEON BUTLER","DEONBUTLER","WR","SEA",2010,63.1,246,73,-44
"MICHAEL JENKINS","MICHAELJENKINS","WR","ATL",2010,62.5,250,74,-44.6
"GARRETT HARTLEY","GARRETTHARTLEY","K","NOR",2010,105,155,19,-45
"JOHN KASAY","JOHNKASAY","K","CAR",2010,105,155,19,-45
"DETROIT LIONS","DETROITLIONS","Def",NA,2010,143.83792,80,11,-45.09264
"SAN FRANCISCO 49ERS","SANFRANCISCO49ERS","Def",NA,2010,143.57584,81,12,-45.35472
"TOBY GERHART","TOBYGERHART","RB","MIN",2010,54.9,268,56,-45.7
"BO SCAIFE","BOSCAIFE","TE","TEN",2010,55.8,264,28,-45.8
"SAN DIEGO CHARGERS","SANDIEGOCHARGERS","Def",NA,2010,142.96208,82,13,-45.96848
"TAMPA BAY BUCCANEERS","TAMPABAYBUCCANEERS","Def",NA,2010,142.94464,83,14,-45.98592
"RYAN SUCCOP","RYANSUCCOP","K","KAN",2010,104,157,21,-46
"JEFF REED","JEFFREED","K","2TM",2010,103,160,22,-47
"LAWRENCE TYNES","LAWRENCETYNES","K","NYG",2010,103,160,22,-47
"JAVARRIS JAMES","JAVARRISJAMES","RB","IND",2010,53.5,270,57,-47.1
"TASHARD CHOICE","TASHARDCHOICE","RB","DAL",2010,53.2,272,58,-47.4
"BRANDON LAFELL","BRANDONLAFELL","WR","CAR",2010,58.8,257,75,-48.3
"CLEVELAND BROWNS","CLEVELANDBROWNS","Def",NA,2010,140.34608,85,15,-48.58448
"DALLAS CLARK","DALLASCLARK","TE","IND",2010,52.7,275,29,-48.9
"TJ HOUSHMANDZADEH","TJHOUSHMANDZADEH","WR","BAL",2010,57.8,261,76,-49.3
"PATRICK CRAYTON","PATRICKCRAYTON","WR","SDG",2010,57.4,262,77,-49.7
"GRAHAM GANO","GRAHAMGANO","K","WAS",2010,100,166,24,-50
"DANIEL FELLS","DANIELFELLS","TE","STL",2010,51.1,277,30,-50.5
"FRED DAVIS","FREDDAVIS","TE","WAS",2010,49.6,279,31,-52
"JERRICHO COTCHERY","JERRICHOCOTCHERY","WR","NYJ",2010,55,265,78,-52.1
"ARRELIOUS BENN","ARRELIOUSBENN","WR","TAM",2010,55,266,79,-52.1
"DEANGELO WILLIAMS","DEANGELOWILLIAMS","RB","CAR",2010,48.2,281,59,-52.4
"ROSCOE PARRISH","ROSCOEPARRISH","WR","BUF",2010,54.3,269,80,-52.8
"NEW ORLEANS SAINTS","NEWORLEANSSAINTS","Def",NA,2010,136.05584,92,16,-52.87472
"JEROME HARRISON","JEROMEHARRISON","RB","2TM",2010,47.5,282,60,-53.1
"DAVID NELSON","DAVIDNELSON","WR","BUF",2010,53.3,271,81,-53.8
"DEVERY HENDERSON","DEVERYHENDERSON","WR","NOR",2010,53.2,272,82,-53.9
"KANSAS CITY CHIEFS","KANSASCITYCHIEFS","Def",NA,2010,133.97056,95,17,-54.96
"PHIL DAWSON","PHILDAWSON","K","CLE",2010,95,181,25,-55
"DALLAS COWBOYS","DALLASCOWBOYS","Def",NA,2010,133.4736,97,18,-55.45696
"TENNESSEE TITANS","TENNESSEETITANS","Def",NA,2010,133.30416,99,19,-55.6264
"PHILADELPHIA EAGLES","PHILADELPHIAEAGLES","Def",NA,2010,132.79936,102,20,-56.1312
"ISAAC REDMAN","ISAACREDMAN","RB","PIT",2010,43.9,288,61,-56.7
"TONY SCHEFFLER","TONYSCHEFFLER","TE","DET",2010,43.8,289,32,-57.8
"BRIAN ROBISKIE","BRIANROBISKIE","WR","CLE",2010,49,280,83,-58.1
"REGGIE BUSH","REGGIEBUSH","RB","NOR",2010,41.8,294,62,-58.8
"LADELL BETTS","LADELLBETTS","RB","NOR",2010,41.1,297,63,-59.5
"JARED COOK","JAREDCOOK","TE","TEN",2010,42.1,293,33,-59.5
"DARRIUS HEYWARDBEY","DARRIUSHEYWARDBEY","WR","OAK",2010,47.4,283,84,-59.7
"JAVON RINGER","JAVONRINGER","RB","TEN",2010,40.3,299,64,-60.3
"CLINTON PORTIS","CLINTONPORTIS","RB","WAS",2010,40.2,300,65,-60.4
"SHAUN HILL","SHAUNHILL","QB","DET",2010,159.74,62,22,-60.42
"JASON CAMPBELL","JASONCAMPBELL","QB","OAK",2010,159.68,63,23,-60.48
"CHAD HENNE","CHADHENNE","QB","MIA",2010,159.24,64,24,-60.92
"JEROME SIMPSON","JEROMESIMPSON","WR","CIN",2010,45.9,284,85,-61.2
"EARNEST GRAHAM","EARNESTGRAHAM","RB","TAM",2010,38.98,302,66,-61.62
"LAURENT ROBINSON","LAURENTROBINSON","WR","STL",2010,45,285,86,-62.1
"MATT HASSELBECK","MATTHASSELBECK","QB","SEA",2010,158.04,66,25,-62.12
"ST LOUIS RAMS","STLOUISRAMS","Def",NA,2010,126.10576,112,21,-62.8248
"VINCENT JACKSON","VINCENTJACKSON","WR","SDG",2010,44.2,287,87,-62.9
"EVAN MOORE","EVANMOORE","TE","CLE",2010,38.2,303,34,-63.4
"ANTHONY DIXON","ANTHONYDIXON","RB","SFO",2010,36.8,308,67,-63.8
"JOHN CARLSON","JOHNCARLSON","TE","SEA",2010,37.8,305,35,-63.8
"MARK CLAYTON","MARKCLAYTON","WR","STL",2010,43.2,290,88,-63.9
"LEGEDU NAANEE","LEGEDUNAANEE","WR","SDG",2010,42.9,291,89,-64.2
"JOSH CRIBBS","JOSHCRIBBS","WR","CLE",2010,42.56,292,90,-64.54
"JON KITNA","JONKITNA","QB","DAL",2010,155.3,71,26,-64.86
"JERMICHAEL FINLEY","JERMICHAELFINLEY","TE","GNB",2010,36.1,311,36,-65.5
"CHANSI STUCKEY","CHANSISTUCKEY","WR","CLE",2010,41.5,296,91,-65.6
"KENNETH DARBY","KENNETHDARBY","RB","STL",2010,34.8,318,68,-65.8
"MIAMI DOLPHINS","MIAMIDOLPHINS","Def",NA,2010,122.67056,120,22,-66.26
"DEMARYIUS THOMAS","DEMARYIUSTHOMAS","WR","DEN",2010,40.4,298,92,-66.7
"DELANIE WALKER","DELANIEWALKER","TE","SFO",2010,34.9,317,37,-66.7
"SIDNEY RICE","SIDNEYRICE","WR","MIN",2010,40,301,93,-67.1
"RANDY MCMICHAEL","RANDYMCMICHAEL","TE","SDG",2010,34.1,321,38,-67.5
"DAVID THOMAS","DAVIDTHOMAS","TE","NOR",2010,33.9,323,39,-67.7
"WASHINGTON REDSKINS","WASHINGTONREDSKINS","Def",NA,2010,120.37184,123,23,-68.55872
"SEYI AJIROTUTU","SEYIAJIROTUTU","WR","SDG",2010,38.2,303,94,-68.9
"MICHAEL HOOMANAWANUI","MICHAELHOOMANAWANUI","TE","STL",2010,32.6,324,40,-69
"MATT PRATER","MATTPRATER","K","DEN",2010,81,204,26,-69
"RYAN LONGWELL","RYANLONGWELL","K","MIN",2010,81,204,26,-69
"MINNESOTA VIKINGS","MINNESOTAVIKINGS","Def",NA,2010,119.70288,126,24,-69.22768
"JOE WEBB","JOEWEBB","WR","MIN",2010,37.08,306,95,-70.02
"MICHEAL SPURLOCK","MICHEALSPURLOCK","WR","TAM",2010,37,307,96,-70.1
"MEWELDE MOORE","MEWELDEMOORE","RB","PIT",2010,30.4,329,69,-70.2
"DANARIO ALEXANDER","DANARIOALEXANDER","WR","STL",2010,36.6,310,97,-70.5
"RIAN LINDELL","RIANLINDELL","K","BUF",2010,79,210,28,-71
"EARLY DOUCET","EARLYDOUCET","WR","ARI",2010,35.6,312,98,-71.5
"BRANDON STOKLEY","BRANDONSTOKLEY","WR","SEA",2010,35.4,313,99,-71.7
"ANDREW QUARLESS","ANDREWQUARLESS","TE","GNB",2010,29.8,331,41,-71.8
"ANTWAAN RANDLE EL","ANTWAANRANDLEEL","WR","PIT",2010,35.18,315,100,-71.92
"HARRY DOUGLAS","HARRYDOUGLAS","WR","ATL",2010,34.9,316,101,-72.2
"JULIUS JONES","JULIUSJONES","RB","2TM",2010,28.2,337,70,-72.4
"BRIAN FINNERAN","BRIANFINNERAN","WR","ATL",2010,34.6,319,102,-72.5
"ANDRE CALDWELL","ANDRECALDWELL","WR","CIN",2010,34.3,320,103,-72.8
"DEXTER MCCLUSTER","DEXTERMCCLUSTER","WR","KAN",2010,34,322,104,-73.1
"ZACH MILLER","ZACHMILLER","TE","JAX",2010,28.5,335,42,-73.1
"MIKE HART","MIKEHART","RB","IND",2010,27,341,71,-73.6
"JACOB HESTER","JACOBHESTER","RB","SDG",2010,26.5,343,72,-74.1
"JUSTIN GAGE","JUSTINGAGE","WR","TEN",2010,32.6,324,105,-74.5
"BRIAN LEONARD","BRIANLEONARD","RB","CIN",2010,25.8,347,73,-74.8
"KEVIN SMITH","KEVINSMITH","RB","DET",2010,25.6,348,74,-75
"BILLY BAJEMA","BILLYBAJEMA","TE","STL",2010,26.5,343,43,-75.1
"CRAIG DAVIS","CRAIGDAVIS","WR","SDG",2010,31.9,327,106,-75.2
"DANTE ROSARIO","DANTEROSARIO","TE","CAR",2010,26.2,345,44,-75.4
"MARTELLUS BENNETT","MARTELLUSBENNETT","TE","DAL",2010,26,346,45,-75.6
"SHAYNE GRAHAM","SHAYNEGRAHAM","K","2TM",2010,74,224,29,-76
"JASON HILL","JASONHILL","WR","2TM",2010,30.8,328,107,-76.3
"DONALD LEE","DONALDLEE","TE","GNB",2010,25.3,349,46,-76.3
"INDIANAPOLIS COLTS","INDIANAPOLISCOLTS","Def",NA,2010,112.43504,139,25,-76.49552
"GREG CAMARILLO","GREGCAMARILLO","WR","MIN",2010,30,330,108,-77.1
"CRAIG STEVENS","CRAIGSTEVENS","TE","TEN",2010,24.2,353,47,-77.4
"JEFF KING","JEFFKING","TE","CAR",2010,24.1,354,48,-77.5
"MIKE SELLERS","MIKESELLERS","RB","WAS",2010,22.6,361,75,-78
