"name","pos","team_espn","positionRank_espn","overallRank_espn","passAtt_espn","passComp_espn","passYds_espn","passTds_espn","passInt_espn","rushYds_espn","rushTds_espn","recYds_espn","recTds_espn","twoPts_espn","fumbles_espn","pts_espn"
"Ahmad Bradshaw","RB","NYG",19,51,0,0,0,0,0,934,8,260,1,NA,NA,167
"Greg Jennings","WR","GB",5,52,0,0,0,0,0,0,0,1125,9,NA,NA,166
"Darren Sproles","RB","NO",18,53,0,0,0,0,0,475,1,751,6,NA,NA,164
"Sam Bradford","QB","STL",21,54,461,265,3153,16,14,58,0,0,0,NA,NA,161
"Stevan Ridley","RB","NE",24,54,0,0,0,0,0,980,10,77,0,NA,NA,161
"Hakeem Nicks","WR","NYG",8,56,0,0,0,0,0,0,0,1125,8,NA,NA,160
"Russell Wilson","QB","SEA",30,57,289,169,1927,14,12,362,3,0,0,NA,NA,159
"Julio Jones","WR","ATL",11,58,0,0,0,0,0,68,0,1158,6,NA,NA,155
"Dwayne Bowe","WR","KC",20,59,0,0,0,0,0,0,0,1045,8,NA,NA,152
"Reggie Bush","RB","MIA",21,60,0,0,0,0,0,894,5,291,1,NA,NA,150
"Victor Cruz","WR","NYG",10,60,0,0,0,0,0,0,0,1107,7,NA,NA,150
"Percy Harvin","WR","MIN",19,60,0,0,0,0,0,263,1,900,5,NA,NA,150
"Christian Ponder","QB","MIN",29,63,370,207,2359,17,15,251,0,0,0,NA,NA,149
"Jordy Nelson","WR","GB",13,63,0,0,0,0,0,0,0,1131,6,NA,NA,149
"Vincent Jackson","WR","TB",18,63,0,0,0,0,0,45,0,1054,7,NA,NA,149
"Jake Locker","QB","TEN",26,66,293,159,2243,17,15,151,2,0,0,NA,NA,148
"Brandon Marshall","WR","CHI",12,66,0,0,0,0,0,20,0,1129,6,NA,NA,148
"Steve Smith","WR","CAR",14,66,0,0,0,0,0,36,0,1055,7,NA,NA,148
"Marques Colston","WR","NO",16,69,0,0,0,0,0,0,0,1073,7,NA,NA,147
"Kevin Smith","RB","DET",34,70,0,0,0,0,0,731,6,297,2,NA,NA,146
"Dez Bryant","WR","DAL",15,70,0,0,0,0,0,0,0,948,9,NA,NA,146
"John Skelton","QB","ARI",27,72,412,222,2708,16,18,126,0,0,0,NA,NA,144
"Jonathan Stewart","RB","CAR",23,72,0,0,0,0,0,772,4,412,1,NA,NA,144
"Shonn Greene","RB","NYJ",25,74,0,0,0,0,0,1002,4,206,0,NA,NA,142
"Jeremy Maclin","WR","PHI",21,74,0,0,0,0,0,14,0,934,8,NA,NA,142
"Antonio Gates","TE","SD",3,74,0,0,0,0,0,0,0,948,8,NA,NA,142
"Doug Martin","RB","TB",27,77,0,0,0,0,0,841,4,376,0,NA,NA,141
"DeSean Jackson","WR","PHI",27,77,0,0,0,0,0,73,0,987,6,NA,NA,141
"Blaine Gabbert","QB","JAC",32,79,357,189,2039,17,13,165,2,0,0,NA,NA,139
"Willis McGahee","RB","DEN",20,79,0,0,0,0,0,848,9,57,0,NA,NA,139
"BenJarvus Green-Ellis","RB","CIN",22,81,0,0,0,0,0,805,9,44,0,NA,NA,138
"Demaryius Thomas","WR","DEN",24,81,0,0,0,0,0,0,0,1023,6,NA,NA,138
"Vernon Davis","TE","SF",4,81,0,0,0,0,0,0,0,900,8,NA,NA,138
"Brandon Weeden","QB","CLE",31,84,435,248,2557,16,12,27,0,0,0,NA,NA,136
"Brandon Lloyd","WR","NE",17,84,0,0,0,0,0,0,0,944,7,NA,NA,136
"Eric Decker","WR","DEN",26,86,0,0,0,0,0,0,0,1056,5,NA,NA,135
"Steve Johnson","WR","BUF",22,87,0,0,0,0,0,0,0,984,6,NA,NA,134
"Robert Meachem","WR","SD",28,88,0,0,0,0,0,14,0,967,6,NA,NA,133
"Mark Sanchez","QB","NYJ",28,89,351,195,2184,17,17,80,2,0,0,NA,NA,131
"Michael Bush","RB","CHI",32,90,0,0,0,0,0,690,7,200,0,NA,NA,129
"Miles Austin","WR","DAL",23,90,0,0,0,0,0,12,0,862,7,NA,NA,129
"Cedric Benson","RB","GB",29,92,0,0,0,0,0,810,5,151,1,NA,NA,128
"Antonio Brown","WR","PIT",25,92,0,0,0,0,0,9,0,1045,4,NA,NA,128
"C.J. Spiller","RB","BUF",33,94,0,0,0,0,0,645,4,372,1,NA,NA,127
"Peyton Hillis","RB","KC",35,94,0,0,0,0,0,789,6,179,0,NA,NA,127
"Kenny Britt","WR","TEN",31,94,0,0,0,0,0,0,0,939,6,NA,NA,127
"Ben Tate","RB","HOU",26,97,0,0,0,0,0,801,6,103,1,NA,NA,126
"Roy Helu","RB","WAS",28,98,0,0,0,0,0,680,4,294,1,NA,NA,125
"Beanie Wells","RB","ARI",30,99,0,0,0,0,0,852,6,71,0,NA,NA,124
"DeAngelo Williams","RB","CAR",31,99,0,0,0,0,0,858,3,175,1,NA,NA,124
"Donald Brown","RB","IND",39,99,0,0,0,0,0,874,4,134,0,NA,NA,124
"Isaac Redman","RB","PIT",36,102,0,0,0,0,0,834,5,101,1,NA,NA,123
"Pierre Garcon","WR","WAS",29,102,0,0,0,0,0,8,0,890,6,NA,NA,123
"Torrey Smith","WR","BAL",30,102,0,0,0,0,0,31,0,969,4,NA,NA,123
"Denarius Moore","WR","OAK",32,102,0,0,0,0,0,27,0,856,6,NA,NA,123
"Aaron Hernandez","TE","NE",6,106,0,0,0,0,0,0,0,793,7,NA,NA,121
"Mark Ingram","RB","NO",37,107,0,0,0,0,0,765,7,41,0,NA,NA,120
"Jason Witten","TE","DAL",8,107,0,0,0,0,0,0,0,900,5,NA,NA,120
"Malcom Floyd","WR","SD",33,109,0,0,0,0,0,0,0,890,5,NA,NA,119
"Jermichael Finley","TE","GB",5,109,0,0,0,0,0,0,0,833,6,NA,NA,119
"Toby Gerhart","RB","MIN",38,111,0,0,0,0,0,656,4,190,2,NA,NA,118
"Santonio Holmes","WR","NYJ",34,112,0,0,0,0,0,25,0,753,7,NA,NA,117
"Tony Gonzalez","TE","ATL",7,112,0,0,0,0,0,0,0,819,6,NA,NA,117
"Lance Moore","WR","NO",35,114,0,0,0,0,0,0,0,747,7,NA,NA,116
"Anquan Boldin","WR","BAL",36,115,0,0,0,0,0,0,0,841,5,NA,NA,114
"Ryan Williams","RB","ARI",41,116,0,0,0,0,0,676,3,258,1,NA,NA,112
"Pierre Thomas","RB","NO",46,117,0,0,0,0,0,529,2,370,2,NA,NA,111
"David Wilson","RB","NYG",42,118,0,0,0,0,0,725,4,147,1,NA,NA,110
"Nate Washington","WR","TEN",38,118,0,0,0,0,0,5,0,802,5,NA,NA,110
"Fred Davis","TE","WAS",9,118,0,0,0,0,0,0,0,807,5,NA,NA,110
"Michael Crabtree","WR","SF",37,121,0,0,0,0,0,0,0,786,5,NA,NA,108
"Titus Young","WR","DET",42,122,0,0,0,0,0,32,0,744,5,NA,NA,107
"Jacob Tamme","TE","DEN",12,122,0,0,0,0,0,0,0,779,5,NA,NA,107
"Ryan Tannehill","QB","MIA",33,124,270,143,1743,14,12,27,1,0,0,NA,NA,105
"Jared Cook","TE","TEN",11,124,0,0,0,0,0,0,0,693,6,NA,NA,105
"Bernard Scott","RB","CIN",45,126,0,0,0,0,0,700,2,112,2,NA,NA,103
"Darrius Heyward-Bey","WR","OAK",41,127,0,0,0,0,0,0,0,784,4,NA,NA,102
"Justin Blackmon","WR","JAC",44,127,0,0,0,0,0,0,0,665,6,NA,NA,102
"Felix Jones","RB","DAL",43,129,0,0,0,0,0,658,1,286,1,NA,NA,101
"Daniel Thomas","RB","MIA",44,129,0,0,0,0,0,728,4,79,0,NA,NA,101
"Reggie Wayne","WR","IND",39,129,0,0,0,0,0,0,0,711,5,NA,NA,101
"Sidney Rice","WR","SEA",40,132,0,0,0,0,0,0,0,702,5,NA,NA,100
"Brandon Pettigrew","TE","DET",10,132,0,0,0,0,0,0,0,700,5,NA,NA,100
"Kendall Wright","WR","TEN",54,134,0,0,0,0,0,65,0,715,4,NA,NA,99
"Brent Celek","TE","PHI",14,134,0,0,0,0,0,0,0,694,5,NA,NA,99
"Shane Vereen","RB","NE",40,136,0,0,0,0,0,518,3,230,1,NA,NA,96
"Rueben Randle","WR","NYG",46,136,0,0,0,0,0,0,0,669,5,NA,NA,96
"Owen Daniels","TE","HOU",13,138,0,0,0,0,0,0,0,650,5,NA,NA,95
"Nate Burleson","WR","DET",49,139,0,0,0,0,0,74,0,655,4,NA,NA,94
"Dustin Keller","TE","NYJ",15,139,0,0,0,0,0,0,0,701,4,NA,NA,94
"LeGarrette Blount","RB","TB",47,141,0,0,0,0,0,545,6,76,0,NA,NA,93
"Taiwan Jones","RB","OAK",60,141,0,0,0,0,0,581,3,211,0,NA,NA,93
"Leonard Hankerson","WR","WAS",45,143,0,0,0,0,0,0,0,672,4,NA,NA,91
"Rashad Jennings","RB","JAC",49,144,0,0,0,0,0,485,3,188,1,NA,NA,90
"Laurent Robinson","WR","JAC",47,144,0,0,0,0,0,0,0,543,6,NA,NA,90
"Brandon LaFell","WR","CAR",53,144,0,0,0,0,0,0,0,721,3,NA,NA,90
"Mike Tolbert","RB","CAR",48,147,0,0,0,0,0,278,4,301,2,NA,NA,89
"Mike Williams","WR","TB",48,147,0,0,0,0,0,0,0,615,5,NA,NA,89
"Davone Bess","WR","MIA",56,149,0,0,0,0,0,7,0,721,3,NA,NA,86
"Mario Manningham","WR","SF",43,150,0,0,0,0,0,0,0,530,5,NA,NA,83
"Greg Little","WR","CLE",52,150,0,0,0,0,0,15,0,727,2,NA,NA,83
"Anthony Armstrong","WR","DAL",68,150,0,0,0,0,0,0,0,659,3,NA,NA,83
"Jermaine Gresham","TE","CIN",17,150,0,0,0,0,0,0,0,530,5,NA,NA,83
"Greg Olsen","TE","CAR",19,154,0,0,0,0,0,0,0,526,5,NA,NA,82
"Mike Goodson","RB","OAK",63,155,0,0,0,0,0,486,2,235,0,NA,NA,81
"Steve Breaston","WR","KC",69,155,0,0,0,0,0,25,0,678,2,NA,NA,81
"Martellus Bennett","TE","NYG",16,155,0,0,0,0,0,0,0,572,4,NA,NA,81
"Coby Fleener","TE","IND",18,155,0,0,0,0,0,0,0,514,5,NA,NA,81
"Matt Moore","QB","MIA",38,159,178,104,1217,11,8,45,1,0,0,NA,NA,80
"Jon Baldwin","WR","KC",51,160,0,0,0,0,0,0,0,666,2,NA,NA,78
"James Jones","WR","GB",55,160,0,0,0,0,0,0,0,544,4,NA,NA,78
"Braylon Edwards","WR","NYJ",63,160,0,0,0,0,0,0,0,543,4,NA,NA,78
"Ed Dickson","TE","BAL",21,163,0,0,0,0,0,0,0,536,4,NA,NA,77
"Evan Royster","RB","WAS",56,164,0,0,0,0,0,470,2,199,0,NA,NA,76
"Austin Collie","WR","IND",78,165,0,0,0,0,0,0,0,574,3,NA,NA,75
"Kyle Rudolph","TE","MIN",20,165,0,0,0,0,0,0,0,575,3,NA,NA,75
"Randy Moss","WR","SF",50,167,0,0,0,0,0,0,0,434,5,NA,NA,73
"Michael Floyd","WR","ARI",64,167,0,0,0,0,0,0,0,611,2,NA,NA,73
"Jonathan Dwyer","RB","PIT",51,169,0,0,0,0,0,501,3,66,0,NA,NA,72
"Steve Smith","WR","STL",60,170,0,0,0,0,0,0,0,474,4,NA,NA,71
"Kevin Walter","WR","HOU",79,170,0,0,0,0,0,0,0,532,3,NA,NA,71
"Alshon Jeffery","WR","CHI",62,172,0,0,0,0,0,0,0,520,3,NA,NA,70
"Jerome Simpson","WR","MIN",67,172,0,0,0,0,0,0,0,589,2,NA,NA,70
"Danny Amendola","WR","STL",77,174,0,0,0,0,0,0,0,636,1,NA,NA,69
"Kevin Kolb","QB","ARI",37,175,152,90,1100,8,6,26,1,0,0,NA,NA,68
"Doug Baldwin","WR","SEA",66,175,0,0,0,0,0,0,0,561,2,NA,NA,68
"James Starks","RB","GB",53,177,0,0,0,0,0,392,2,146,1,NA,NA,67
"David Nelson","WR","BUF",76,177,0,0,0,0,0,0,0,490,3,NA,NA,67
"Alfred Morris","RB","WAS",57,179,0,0,0,0,0,382,2,174,0,NA,NA,65
"Jacoby Ford","WR","OAK",61,179,0,0,0,0,0,55,0,561,1,NA,NA,65
"Mohamed Sanu","WR","CIN",70,179,0,0,0,0,0,0,0,476,3,NA,NA,65
"Joel Dreessen","TE","DEN",23,179,0,0,0,0,0,0,0,350,5,NA,NA,65
"Delone Carter","RB","IND",55,183,0,0,0,0,0,460,3,34,0,NA,NA,63
"Marcedes Lewis","TE","JAC",22,183,0,0,0,0,0,0,0,397,4,NA,NA,63
"Rashard Mendenhall","RB","PIT",50,185,0,0,0,0,0,380,4,43,0,NA,NA,62
"Evan Moore","TE","PHI",28,185,0,0,0,0,0,0,0,442,3,NA,NA,62
"Jacquizz Rodgers","RB","ATL",66,187,0,0,0,0,0,354,1,243,0,NA,NA,61
"Scott Chandler","TE","BUF",24,187,0,0,0,0,0,0,0,315,5,NA,NA,61
"Eddie Royal","WR","SD",57,189,0,0,0,0,0,50,0,432,2,NA,NA,60
"Randall Cobb","WR","GB",59,189,0,0,0,0,0,37,0,455,2,NA,NA,60
"Heath Miller","TE","PIT",25,189,0,0,0,0,0,0,0,546,1,NA,NA,60
"Matt Flynn","QB","SEA",34,192,158,92,1016,6,5,16,1,0,0,NA,NA,59
"LaMichael James","RB","SF",71,192,0,0,0,0,0,194,0,306,2,NA,NA,59
"Josh Morgan","WR","WAS",71,192,0,0,0,0,0,0,0,470,2,NA,NA,59
"Jason Snelling","RB","ATL",64,195,0,0,0,0,0,177,3,172,1,NA,NA,58
"Keiland Williams","RB","WAS",67,195,0,0,0,0,0,292,2,112,1,NA,NA,58
"Devery Henderson","WR","NO",74,195,0,0,0,0,0,14,0,455,2,NA,NA,58
"Brandon Jacobs","RB","SF",52,198,0,0,0,0,0,289,4,71,0,NA,NA,57
"Kendall Hunter","RB","SF",61,198,0,0,0,0,0,304,1,210,0,NA,NA,57
"Damian Williams","WR","TEN",72,198,0,0,0,0,0,0,0,390,3,NA,NA,57
"Le'Ron McClain","RB","SD",69,201,0,0,0,0,0,250,2,198,0,NA,NA,56
"Santana Moss","WR","WAS",75,201,0,0,0,0,0,0,0,447,2,NA,NA,56
"Matt Hasselbeck","QB","TEN",35,203,146,88,985,9,10,25,0,0,0,NA,NA,55
"Isaiah Pead","RB","STL",58,203,0,0,0,0,0,287,1,176,1,NA,NA,55
"Danny Woodhead","RB","NE",73,203,0,0,0,0,0,314,1,180,0,NA,NA,55
"Alex Green","RB","GB",77,203,0,0,0,0,0,266,1,270,0,NA,NA,55
"Brandon Stokley","WR","DEN",58,203,0,0,0,0,0,0,0,433,2,NA,NA,55
"Andre Roberts","WR","ARI",84,203,0,0,0,0,0,0,0,497,1,NA,NA,55
"Donnie Avery","WR","IND",95,203,0,0,0,0,0,0,0,434,2,NA,NA,55
"Bernard Pierce","RB","BAL",68,210,0,0,0,0,0,356,3,31,0,NA,NA,54
"Robert Turbin","RB","SEA",62,211,0,0,0,0,0,415,2,43,0,NA,NA,53
"Lamar Miller","RB","MIA",65,211,0,0,0,0,0,306,1,137,1,NA,NA,53
"Dion Lewis","RB","PHI",70,211,0,0,0,0,0,279,2,88,1,NA,NA,53
"Legedu Naanee","WR","FA",80,211,0,0,0,0,0,0,0,418,2,NA,NA,53
"Kevin Ogletree","WR","DAL",106,211,0,0,0,0,0,0,0,352,3,NA,NA,53
"Anthony Fasano","TE","MIA",29,211,0,0,0,0,0,0,0,358,3,NA,NA,53
"Mikel Leshoure","RB","DET",59,217,0,0,0,0,0,293,3,97,0,NA,NA,52
"Leon Washington","RB","SEA",81,217,0,0,0,0,0,285,1,202,0,NA,NA,52
"Stephen Hill","WR","NYJ",65,217,0,0,0,0,0,0,0,342,3,NA,NA,52
"Mike Thomas","WR","DET",88,217,0,0,0,0,0,41,0,362,2,NA,NA,52
"Jacoby Jones","WR","BAL",89,217,0,0,0,0,0,19,0,397,2,NA,NA,52
"Tony Scheffler","TE","DET",35,217,0,0,0,0,0,0,0,341,3,NA,NA,52
"Zach Miller","TE","SEA",30,223,0,0,0,0,0,0,0,392,2,NA,NA,51
"Tony Moeaki","TE","KC",31,223,0,0,0,0,0,0,0,397,2,NA,NA,51
"Bilal Powell","RB","NYJ",72,225,0,0,0,0,0,241,2,160,0,NA,NA,50
"Kellen Davis","TE","CHI",32,226,0,0,0,0,0,0,0,252,4,NA,NA,49
"Dexter McCluster","WR","KC",73,227,0,0,0,0,0,149,0,315,1,NA,NA,47
"Emmanuel Sanders","WR","PIT",81,227,0,0,0,0,0,0,0,355,2,NA,NA,47
"Greg Salas","WR","PHI",82,227,0,0,0,0,0,0,0,415,1,NA,NA,47
"Joe Webb","QB","MIN",40,230,91,51,530,3,4,130,2,0,0,NA,NA,46
"Ronnie Brown","RB","SD",54,230,0,0,0,0,0,255,3,51,0,NA,NA,46
"Donald Jones","WR","BUF",85,230,0,0,0,0,0,14,0,333,2,NA,NA,46
"Dennis Pitta","TE","BAL",26,230,0,0,0,0,0,0,0,289,3,NA,NA,46
"Benjamin Watson","TE","CLE",27,230,0,0,0,0,0,0,0,346,2,NA,NA,46
"Knowshon Moreno","RB","DEN",78,235,0,0,0,0,0,229,0,217,1,NA,NA,45
"Ronnie Hillman","RB","DEN",80,235,0,0,0,0,0,134,0,287,1,NA,NA,45
"Josh Gordon","WR","CLE",91,237,0,0,0,0,0,0,0,382,1,NA,NA,44
"Jerrel Jernigan","WR","NYG",83,238,0,0,0,0,0,0,0,312,2,NA,NA,43
"Jordan Cameron","TE","CLE",34,238,0,0,0,0,0,0,0,310,2,NA,NA,43
"Earl Bennett","WR","CHI",90,240,0,0,0,0,0,0,0,324,2,NA,NA,42
"Dallas Clark","TE","TB",36,240,0,0,0,0,0,0,0,247,3,NA,NA,42
"Daryl Richardson","RB","STL",75,242,0,0,0,0,0,231,1,103,0,NA,NA,39
"John Carlson","TE","MIN",33,242,0,0,0,0,0,0,0,274,2,NA,NA,39
"Brian Quick","WR","STL",87,244,0,0,0,0,0,0,0,266,2,NA,NA,38
"Golden Tate","WR","SEA",92,244,0,0,0,0,0,14,0,312,1,NA,NA,38
"Vincent Brown","WR","SD",93,244,0,0,0,0,0,0,0,325,1,NA,NA,38
"Dwayne Allen","TE","IND",38,244,0,0,0,0,0,0,0,206,3,NA,NA,38
"Kevin Boss","TE","KC",37,248,0,0,0,0,0,0,0,252,2,NA,NA,37
"Chris Givens","WR","STL",86,249,0,0,0,0,0,0,0,245,2,NA,NA,36
"Chaz Schilens","WR","NYJ",94,249,0,0,0,0,0,0,0,308,1,NA,NA,36
"Todd Heap","TE","FA",39,251,0,0,0,0,0,0,0,297,1,NA,NA,35
"Ryan Broyles","WR","DET",96,252,0,0,0,0,0,0,0,304,1,NA,NA,34
"Brian Hartline","WR","MIA",98,252,0,0,0,0,0,11,0,270,1,NA,NA,34
"Chad Henne","QB","JAC",36,254,74,44,501,5,3,38,0,0,0,NA,NA,33
"Montario Hardesty","RB","CLE",74,254,0,0,0,0,0,181,1,93,0,NA,NA,33
"Lance Kendricks","TE","STL",40,254,0,0,0,0,0,0,0,277,1,NA,NA,33
"Armon Binns","WR","MIA",97,257,0,0,0,0,0,0,0,267,1,NA,NA,32
"Vick Ballard","RB","IND",83,258,0,0,0,0,0,130,2,30,0,NA,NA,26
"Bryce Brown","RB","PHI",79,259,0,0,0,0,0,101,2,17,0,NA,NA,23
"Joe McKnight","RB","NYJ",82,260,0,0,0,0,0,141,0,84,0,NA,NA,20
"David Garrard","QB","FA",39,261,0,0,0,0,0,0,0,0,0,NA,NA,0
"Javon Ringer","RB","TEN",84,261,0,0,0,0,0,0,0,0,0,NA,NA,0
"Brandon Jackson","RB","CLE",85,261,0,0,0,0,0,0,0,0,0,NA,NA,0
"Chris Ivory","RB","NO",86,261,0,0,0,0,0,0,0,0,0,NA,NA,0
"John Kuhn","RB","GB",87,261,0,0,0,0,0,0,0,0,0,NA,NA,0
"Baron Batch","RB","PIT",88,261,0,0,0,0,0,0,0,0,0,NA,NA,0
"Bobby Rainey","RB","BAL",89,261,0,0,0,0,0,0,0,0,0,NA,NA,0
"Chris Ogbonnaya","RB","CLE",90,261,0,0,0,0,0,0,0,0,0,NA,NA,0
"Marcel Reece","RB","OAK",91,261,0,0,0,0,0,0,0,0,0,NA,NA,0
"Lance Ball","RB","DEN",92,261,0,0,0,0,0,0,0,0,0,NA,NA,0
"Tashard Choice","RB","BUF",93,261,0,0,0,0,0,0,0,0,0,NA,NA,0
"Justin Forsett","RB","HOU",94,261,0,0,0,0,0,0,0,0,0,NA,NA,0
"LaRod Stephens-Howling","RB","ARI",95,261,0,0,0,0,0,0,0,0,0,NA,NA,0
"D.J. Ware","RB","TB",96,261,0,0,0,0,0,0,0,0,0,NA,NA,0
"Brian Leonard","RB","CIN",97,261,0,0,0,0,0,0,0,0,0,NA,NA,0
"Tim Hightower","RB","FA",98,261,0,0,0,0,0,0,0,0,0,NA,NA,0
"Brandon Saine","RB","GB",99,261,0,0,0,0,0,0,0,0,0,NA,NA,0
"Chris Rainey","RB","PIT",100,261,0,0,0,0,0,0,0,0,0,NA,NA,0
"Jamie Harper","RB","TEN",101,261,0,0,0,0,0,0,0,0,0,NA,NA,0
"Phillip Tanner","RB","DAL",102,261,0,0,0,0,0,0,0,0,0,NA,NA,0
"Michael Smith","RB","TB",103,261,0,0,0,0,0,0,0,0,0,NA,NA,0
"Mewelde Moore","RB","IND",104,261,0,0,0,0,0,0,0,0,0,NA,NA,0
"Jahvid Best","RB","DET",105,261,0,0,0,0,0,0,0,0,0,NA,NA,0
"Jackie Battle","RB","SD",106,261,0,0,0,0,0,0,0,0,0,NA,NA,0
"Ryan Grant","RB","GB",107,261,0,0,0,0,0,0,0,0,0,NA,NA,0
"Anthony Dixon","RB","SF",108,261,0,0,0,0,0,0,0,0,0,NA,NA,0
"Da'Rel Scott","RB","NYG",109,261,0,0,0,0,0,0,0,0,0,NA,NA,0
"Cyrus Gray","RB","KC",110,261,0,0,0,0,0,0,0,0,0,NA,NA,0
"Tyrell Sutton","RB","FA",111,261,0,0,0,0,0,0,0,0,0,NA,NA,0
"Aaron Brown","RB","FA",112,261,0,0,0,0,0,0,0,0,0,NA,NA,0
"Brandon Bolden","RB","NE",113,261,0,0,0,0,0,0,0,0,0,NA,NA,0
"Tauren Poole","RB","CAR",114,261,0,0,0,0,0,0,0,0,0,NA,NA,0
"Curtis Brinkley","RB","SD",115,261,0,0,0,0,0,0,0,0,0,NA,NA,0
"Chris Polk","RB","PHI",116,261,0,0,0,0,0,0,0,0,0,NA,NA,0
"Steve Slaton","RB","FA",117,261,0,0,0,0,0,0,0,0,0,NA,NA,0
"Ryan Torain","RB","NYG",118,261,0,0,0,0,0,0,0,0,0,NA,NA,0
"Deji Karim","RB","IND",119,261,0,0,0,0,0,0,0,0,0,NA,NA,0
